key,mean,std,min,max,skew,kurt,trend_slope,max_drawdown,std_cm,skew_cm,kurt_cm,trend_slope_cm,max_drawdown_cm,date,stock_id
20210225-6134,24.958,0.9462182036342821,23.64,26.88,0.9301108327854232,-0.19509478000780067,0.09696969696969683,-0.08831469340532198,低波動,分布略偏右,接近常態,略有上升,股價小幅回調,20210225,6134
20210225-6150,101.67699999999999,5.1890762397773855,96.1,112.46,1.263169687029812,-0.02744247919580678,1.4468484848484848,-0.029071492138831187,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價一路上漲,20210225,6150
20210225-6541,180.948,7.517973722279747,165.6,190.08,-0.844231794083116,-0.15077982484255292,0.8149090909090914,-0.06365740740740752,高波動,分布略偏左,接近常態,明顯上升,股價小幅回調,20210225,6541
20210225-6589,67.252,4.5004463976118805,60.5,73.16,-0.38424311304877534,-1.3124666239538352,1.3358787878787877,-0.05141171512852924,高波動,分布略偏左,分布平坦（較均勻）,明顯上升,股價小幅回調,20210225,6589
20210226-2734,18.601,2.085918129851803,16.21,21.73,0.31436322816112633,-1.5900511291952815,0.626848484848485,-0.05370694687682418,中等波動,分布略偏右,分布平坦（較均勻）,明顯上升,股價小幅回調,20210226,2734
20210226-2743,21.380000000000003,0.9699369968084426,20.14,22.91,0.1572483205027237,-1.3871970838256331,0.24545454545454534,-0.04626800523788733,低波動,分布接近對稱,分布平坦（較均勻）,明顯上升,股價一路上漲,20210226,2743
20210226-6651,115.24100000000001,11.839546209396904,106.18,142.26,1.6911075678949012,0.7371902534477139,2.9992121212121217,-0.040744421356942735,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價一路上漲,20210226,6651
20210226-6716,75.461,6.142978738183767,67.09,89.01,1.1514719557034163,0.4915545943881354,1.175333333333334,-0.12174368372823664,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價有明顯跌幅,20210226,6716
20210302-2939,33.332,0.7713019296401806,32.03,34.39,-0.16363248282625095,-1.0174523799681718,0.05781818181818181,-0.06590842811315246,低波動,分布接近對稱,分布平坦（較均勻）,略有上升,股價小幅回調,20210302,2939
20210302-3073,31.910000000000004,1.2008793074706179,30.2,33.95,0.45317455960850006,-0.9783072207636274,0.24666666666666684,-0.07473841554559053,中等波動,分布略偏右,接近常態,明顯上升,股價小幅回調,20210302,3073
20210302-4571,159.999,8.211143444531126,149.86,170.23,0.31194761622185885,-1.651244724960321,1.4982424242424253,-0.1196616342595311,高波動,分布略偏右,分布平坦（較均勻）,明顯上升,股價有明顯跌幅,20210302,4571
