公布日期,證券代號,證券名稱,處置起始,處置結束,處置營業日數,撮合頻率(分鐘),開盤價,收盤價,short_return,公布日期_date,證券代號_str,broker_brought
2023-12-01,1325,恆大,2023-12-04,2023-12-15,10,5,36.8,39.05,-0.0611,2023-12-01,1325,
2023-12-01,3373,熱映,2023-12-04,2023-12-19,12,5,30.5,33.25,-0.0902,2023-12-01,3373,
2023-12-01,3548,兆利,2023-12-04,2023-12-15,10,5,241.0,243.0,-0.0083,2023-12-01,3548,
2023-12-01,5478,智冠,2023-12-04,2023-12-15,10,5,150.41,165.07,-0.0975,2023-12-01,5478,
2023-12-04,4420,光明,2023-12-05,2023-12-18,10,5,36.0,34.85,0.0319,2023-12-04,4420,
2023-12-04,6276,安鈦克,2023-12-05,2023-12-18,10,5,118.25,118.25,0.0,2023-12-04,6276,
2023-12-04,6482,弘煜科,2023-12-05,2023-12-18,10,5,66.6,67.9,-0.0195,2023-12-04,6482,
2023-12-04,9919,康那香,2023-12-05,2023-12-20,12,5,32.2,32.8,-0.0186,2023-12-04,9919,
2023-12-06,5478,智冠,2023-12-07,2023-12-20,10,20,175.47,174.53,0.0054,2023-12-06,5478,
2023-12-07,5210,寶碩,2023-12-08,2023-12-21,10,5,53.2,56.0,-0.0526,2023-12-07,5210,
2023-12-07,6117,迎廣,2023-12-08,2023-12-21,10,5,76.9,77.3,-0.0052,2023-12-07,6117,
2023-12-11,6222,上揚,2023-12-12,2023-12-25,10,5,37.0,36.1,0.0243,2023-12-11,6222,
2023-12-12,4413,飛寶企業,2023-12-13,2023-12-26,10,5,24.75,24.75,0.0,2023-12-12,4413,
2023-12-13,3287,廣寰科,2023-12-14,2023-12-29,12,5,38.2,37.1,0.0288,2023-12-13,3287,
2023-12-14,5426,振發,2023-12-15,2023-12-28,10,5,26.85,25.8,0.0391,2023-12-14,5426,
2023-12-14,6593,台灣銘板,2023-12-15,2023-12-28,10,5,207.0,198.0,0.0435,2023-12-14,6593,
2023-12-15,6643,M31,2023-12-18,2023-12-29,10,20,1130.0,1060.0,0.0619,2023-12-15,6643,
2023-12-18,5432,新門,2023-12-19,2024-01-04,12,5,117.0,124.5,-0.0641,2023-12-18,5432,
2023-12-19,3623,富晶通,2023-12-20,2024-01-03,10,20,35.0,33.55,0.0414,2023-12-19,3623,
2023-12-21,8227,巨有科技,2023-12-22,2024-01-05,10,20,264.5,268.0,-0.0132,2023-12-21,8227,
2023-12-22,5314,世紀,2023-12-25,2024-01-08,10,20,83.6,78.2,0.0646,2023-12-22,5314,
2023-12-22,8054,安國,2023-12-25,2024-01-10,12,5,100.0,109.0,-0.09,2023-12-22,8054,
2023-12-27,8059,凱碩,2023-12-28,2024-01-11,10,5,21.4,22.65,-0.0584,2023-12-27,8059,
2023-12-28,6231,系微,2023-12-29,2024-01-16,12,5,284.0,288.0,-0.0141,2023-12-28,6231,
2024-01-02,8059,凱碩,2024-01-03,2024-01-18,12,20,24.5,25.15,-0.0265,2024-01-02,8059,
2024-01-05,3288,點晶,2024-01-08,2024-01-19,10,5,42.75,38.0,0.1111,2024-01-05,3288,
2024-01-05,6113,亞矽,2024-01-08,2024-01-23,12,5,28.5,29.3,-0.0281,2024-01-05,6113,
2024-01-05,8054,安國,2024-01-08,2024-01-19,10,20,126.0,129.0,-0.0238,2024-01-05,8054,
2024-01-10,3086,華義,2024-01-11,2024-01-24,10,5,175.0,156.0,0.1086,2024-01-10,3086,
2024-01-11,8467,波力-KY,2024-01-12,2024-01-29,12,5,175.0,172.0,0.0171,2024-01-11,8467,
2024-01-12,8227,巨有科技,2024-01-15,2024-01-26,10,20,330.5,324.5,0.0182,2024-01-12,8227,
2024-01-16,5314,世紀,2024-01-17,2024-01-30,10,20,116.0,119.0,-0.0259,2024-01-16,5314,
2024-01-17,3228,金麗科,2024-01-18,2024-01-31,10,5,401.5,396.5,0.0125,2024-01-17,3228,
2024-01-17,4529,淳紳,2024-01-18,2024-01-31,10,5,15.4,15.4,0.0,2024-01-17,4529,
2024-01-17,6425,易發,2024-01-18,2024-01-31,10,5,33.0,31.45,0.047,2024-01-17,6425,
2024-01-19,6535,順藥,2024-01-22,2024-02-02,10,5,101.0,107.0,-0.0594,2024-01-19,6535,
