key,stock_id,T+n,date,close
20210107-3339,3339,-14,2020-12-17,13.8
20210107-3339,3339,-15,2020-12-16,14.09
20210107-3339,3339,-16,2020-12-15,14.13
20210107-3339,3339,-17,2020-12-14,14.52
20210107-3339,3339,-18,2020-12-11,13.99
20210107-3339,3339,-19,2020-12-10,14.71
20210107-3339,3339,-20,2020-12-09,14.66
20210107-3339,3339,1,2021-01-08,16.43
20210107-3339,3339,2,2021-01-11,15.91
20210107-3339,3339,3,2021-01-12,14.42
20210107-3339,3339,4,2021-01-13,14.66
20210107-3339,3339,5,2021-01-14,14.52
20210107-3339,3339,6,2021-01-15,13.32
20210107-3339,3339,7,2021-01-18,13.56
20210107-3339,3339,8,2021-01-19,14.9
20210107-3339,3339,9,2021-01-20,15.38
20210107-3339,3339,10,2021-01-21,14.85
20210108-3138,3138,0,2021-01-08,232.95
20210108-3138,3138,-1,2021-01-07,212.06
20210108-3138,3138,-2,2021-01-06,193.04
20210108-3138,3138,-3,2021-01-05,175.87
20210108-3138,3138,-4,2021-01-04,160.09
20210108-3138,3138,-5,2020-12-31,145.71
20210108-3138,3138,-6,2020-12-30,132.71
20210108-3138,3138,-7,2020-12-29,120.65
20210108-3138,3138,-8,2020-12-28,130.39
20210108-3138,3138,-9,2020-12-25,133.64
20210108-3138,3138,-10,2020-12-24,133.18
20210108-3138,3138,-11,2020-12-23,120.59
20210108-3138,3138,-12,2020-12-22,111.83
20210108-3138,3138,-13,2020-12-21,109.51
20210108-3138,3138,-14,2020-12-18,99.77
20210108-3138,3138,-15,2020-12-17,90.95
20210108-3138,3138,-16,2020-12-16,84.64
20210108-3138,3138,-17,2020-12-15,84.45
20210108-3138,3138,-18,2020-12-14,91.79
20210108-3138,3138,-19,2020-12-11,80.74
20210108-3138,3138,-20,2020-12-10,77.96
20210108-3138,3138,1,2021-01-11,256.15
20210108-3138,3138,2,2021-01-12,257.08
20210108-3138,3138,3,2021-01-13,263.57
20210108-3138,3138,4,2021-01-14,250.58
20210108-3138,3138,5,2021-01-15,225.52
