公布日期,證券代號,證券名稱,處置起始,處置結束,處置營業日數,撮合頻率(分鐘),開盤價,收盤價,short_return,broker_bought,avg_vol_5T,max_vol_5T,vol_diff_5T,avg_vol_10T,max_vol_10T,vol_diff_10T,avg_vol_20T,max_vol_20T,vol_diff_20T
2021-12-09,6556,勝品,2021-12-10,2021-12-23,10,5,63.37,63.28,0.0014,13,224600.0,394000.0,0.4299,123400.0,394000.0,0.6868,70050.0,394000.0,0.8222
2021-12-10,4944,兆遠,2021-12-13,2021-12-24,10,10,59.56,62.06,-0.042,13,566400.0,1179000.0,0.5196,337400.0,1179000.0,0.7138,227950.0,1179000.0,0.8067
2021-12-10,5245,智晶,2021-12-13,2021-12-24,10,20,79.72,81.02,-0.0163,19,4089800.0,7878000.0,0.4809,2814500.0,7878000.0,0.6427,1517350.0,7878000.0,0.8074
2021-12-13,6134,萬旭,2021-12-14,2021-12-27,10,20,29.97,32.16,-0.0731,24,6307000.0,11467000.0,0.45,4593100.0,11467000.0,0.5995,2505800.0,11467000.0,0.7815
2021-12-13,6446,藥華藥,2021-12-14,2021-12-27,10,25,383.1,389.49,-0.0167,22,2562400.0,3831000.0,0.3311,2558700.0,3831000.0,0.3321,2355800.0,8100000.0,0.7092
2021-12-13,8068,全達,2021-12-14,2021-12-27,10,5,40.57,40.57,0.0,14,501000.0,658000.0,0.2386,262600.0,658000.0,0.6009,162450.0,658000.0,0.7531
2021-12-13,8121,越峰,2021-12-14,2021-12-27,10,20,54.44,56.4,-0.036,18,1766600.0,2332000.0,0.2425,3026400.0,15452000.0,0.8041,3839450.0,27952000.0,0.8626
2021-12-14,3051,力特,2021-12-15,2021-12-28,10,5,35.41,35.14,0.0076,28,24323709.8,46478722.0,0.4767,14391625.7,46478722.0,0.6904,9050501.45,46478722.0,0.8053
2021-12-14,6118,建達,2021-12-15,2021-12-30,12,20,47.81,45.57,0.0469,29,31357400.0,52828000.0,0.4064,22601500.0,52828000.0,0.5722,13397850.0,52828000.0,0.7464
2021-12-14,6514,芮特-KY,2021-12-15,2021-12-28,10,5,80.25,75.7,0.0567,29,3002000.0,5928000.0,0.4936,1665700.0,5928000.0,0.719,1084350.0,5928000.0,0.8171
2021-12-15,1236,宏亞,2021-12-16,2021-12-29,10,20,31.94,34.28,-0.0733,23,4583075.4,13594749.0,0.6629,3086060.9,13594749.0,0.773,2178279.9,13594749.0,0.8398
2021-12-15,2405,浩鑫,2021-12-16,2021-12-29,10,5,18.75,18.85,-0.0053,26,33455651.2,59867561.0,0.4412,19605502.5,59867561.0,0.6725,10674094.9,59867561.0,0.8217
2021-12-16,3085,新零售,2021-12-17,2021-12-30,10,45,28.0,24.0,0.1429,4,177800.0,298000.0,0.4034,94700.0,298000.0,0.6822,52850.0,298000.0,0.8227
2021-12-16,3508,位速,2021-12-17,2021-12-30,10,20,70.0,69.1,0.0129,28,66051000.0,118702000.0,0.4436,71051800.0,130507000.0,0.4556,39528750.0,130507000.0,0.6971
2021-12-16,6446,藥華藥,2021-12-17,2021-12-30,10,25,389.49,363.92,0.0656,21,2599400.0,3237000.0,0.197,2573300.0,3831000.0,0.3283,2667850.0,8100000.0,0.6706
2021-12-16,8450,霹靂,2021-12-17,2021-12-30,10,20,50.5,49.9,0.0119,21,5026000.0,9608000.0,0.4769,3079000.0,9608000.0,0.6795,2239700.0,9608000.0,0.7669
2021-12-17,2406,國碩,2021-12-20,2022-01-05,12,5,34.18,34.52,-0.0099,27,109175103.2,151135042.0,0.2776,77495511.6,151135042.0,0.4872,47097024.95,151135042.0,0.6884
2021-12-17,3687,歐買尬,2021-12-20,2022-01-05,12,5,184.05,184.05,0.0,27,11754000.0,24371000.0,0.5177,7121300.0,24371000.0,0.7078,3806950.0,24371000.0,0.8438
2021-12-20,3308,聯德,2021-12-21,2022-01-04,10,5,18.74,17.56,0.063,14,1531189.0,3830255.0,0.6002,901914.4,3830255.0,0.7645,511764.2,3830255.0,0.8664
2021-12-21,4946,辣椒,2021-12-22,2022-01-05,10,5,126.4,126.4,0.0,24,1461400.0,2598000.0,0.4375,852200.0,2598000.0,0.672,494750.0,2598000.0,0.8096
2021-12-22,3491,昇達科,2021-12-23,2022-01-10,12,5,203.38,208.59,-0.0256,28,16930800.0,19641000.0,0.138,18279700.0,23516000.0,0.2227,13259600.0,23516000.0,0.4361
2021-12-22,3687,歐買尬,2021-12-23,2022-01-06,10,20,185.52,185.03,0.0026,21,4708000.0,13965000.0,0.6629,7853200.0,24371000.0,0.6778,4176600.0,24371000.0,0.8286
2021-12-24,2939,凱羿-KY,2021-12-27,2022-01-10,10,5,38.5,37.9,0.0156,11,611210.2,2224606.0,0.7253,331109.1,2224606.0,0.8512,191915.4,2224606.0,0.9137
2021-12-24,6111,大宇資,2021-12-27,2022-01-10,10,5,61.96,58.32,0.0587,28,10116600.0,15685000.0,0.355,6568800.0,15685000.0,0.5812,3447250.0,15685000.0,0.7802
2021-12-27,6593,台灣銘板,2021-12-28,2022-01-11,10,5,41.61,40.93,0.0163,14,322800.0,827000.0,0.6097,167800.0,827000.0,0.7971,86850.0,827000.0,0.895
2021-12-28,3383,新世紀,2021-12-29,2022-01-12,10,45,6.94,6.94,0.0,12,1020877.8,2512447.0,0.5937,539102.8,2512447.0,0.7854,299712.15,2512447.0,0.8807
2021-12-29,5227,立凱-KY,2021-12-30,2022-01-13,10,5,83.44,88.21,-0.0572,28,4987000.0,6339000.0,0.2133,3204900.0,6339000.0,0.4944,3193450.0,6339000.0,0.4962
2021-12-29,6158,禾昌,2021-12-30,2022-01-13,10,5,54.16,53.38,0.0144,29,13257800.0,21838000.0,0.3929,7179200.0,21838000.0,0.6713,3800600.0,21838000.0,0.826
2021-12-29,8080,永利聯合,2021-12-30,2022-01-13,10,45,22.0,21.7,0.0136,4,195200.0,350000.0,0.4423,108000.0,350000.0,0.6914,66350.0,350000.0,0.8104
2021-12-29,8440,綠電,2021-12-30,2022-01-13,10,5,27.69,28.23,-0.0195,23,4862000.0,8519000.0,0.4293,2447000.0,8519000.0,0.7128,1245850.0,8519000.0,0.8538
2021-12-30,4755,三福化,2022-01-03,2022-01-18,12,5,166.93,161.83,0.0306,29,16990981.6,27838418.0,0.3897,12643793.7,27838418.0,0.5458,7879141.65,27838418.0,0.717
2022-01-03,3383,新世紀,2022-01-04,2022-01-17,10,60,9.22,9.22,0.0,5,1397941.8,2512447.0,0.4436,896817.9,2512447.0,0.6431,476919.4,2512447.0,0.8102
2022-01-03,6228,全譜,2022-01-04,2022-01-17,10,5,46.14,42.46,0.0798,15,1027400.0,1666000.0,0.3833,570200.0,1666000.0,0.6577,433250.0,1666000.0,0.7399
2022-01-04,4304,勝昱,2022-01-05,2022-01-18,10,45,11.2,11.3,-0.0089,4,129000.0,190000.0,0.3211,75500.0,190000.0,0.6026,48000.0,190000.0,0.7474
2022-01-05,2323,中環,2022-01-06,2022-01-19,10,5,12.28,12.91,-0.0513,29,239329539.6,596011318.0,0.5984,128225781.4,596011318.0,0.7849,67668741.7,596011318.0,0.8865
2022-01-05,2359,所羅門,2022-01-06,2022-01-19,10,5,24.73,24.5,0.0093,28,20938357.0,40609811.0,0.4844,11628409.9,40609811.0,0.7137,6105209.0,40609811.0,0.8497
2022-01-06,3383,新世紀,2022-01-07,2022-01-20,10,60,12.2,9.99,0.1811,13,1294790.2,2887434.0,0.5516,1293668.6,2887434.0,0.552,684687.5,2887434.0,0.7629
2022-01-07,4304,勝昱,2022-01-10,2022-01-21,10,60,12.9,12.5,0.031,2,127200.0,190000.0,0.3305,103900.0,190000.0,0.4532,62600.0,190000.0,0.6705
2022-01-10,2443,昶虹,2022-01-11,2022-01-24,10,45,4.96,4.44,0.1048,7,1739989.2,4081624.0,0.5737,1025331.7,4081624.0,0.7488,570997.15,4081624.0,0.8601
2022-01-10,4946,辣椒,2022-01-11,2022-01-24,10,20,188.6,174.4,0.0753,23,1633400.0,2348000.0,0.3043,1192200.0,2348000.0,0.4922,1133200.0,2598000.0,0.5638
2022-01-14,6225,天瀚,2022-01-17,2022-02-08,10,45,21.44,21.09,0.0163,2,205674.6,513258.0,0.5993,117654.3,513258.0,0.7708,61525.9,513258.0,0.8801
2022-01-17,3383,新世紀,2022-01-18,2022-02-09,10,60,5.85,6.34,-0.0838,4,1238438.0,2614003.0,0.5262,1118285.1,2887434.0,0.6127,1007551.5,2887434.0,0.6511
2022-01-17,8450,霹靂,2022-01-18,2022-02-09,10,20,45.2,46.1,-0.0199,25,6542200.0,7554000.0,0.1339,9693100.0,22500000.0,0.5692,5181400.0,22500000.0,0.7697
2022-02-07,1529,樂士,2022-02-08,2022-02-23,12,5,24.23,25.87,-0.0677,28,27947238.6,40636222.0,0.3123,16465635.9,40636222.0,0.5948,10131767.55,40636222.0,0.7507
2022-02-07,8454,富邦媒,2022-02-08,2022-02-21,10,5,830.99,809.12,0.0263,27,1436147.4,3200832.0,0.5513,928985.7,3200832.0,0.7098,703670.1,3200832.0,0.7802
2022-02-08,3219,倚強科,2022-02-09,2022-02-22,10,5,112.04,111.09,0.0085,16,1141800.0,2645000.0,0.5683,574700.0,2645000.0,0.7827,313750.0,2645000.0,0.8814
2022-02-11,2497,怡利電,2022-02-14,2022-03-02,12,5,93.45,98.37,-0.0526,29,30994875.0,38732929.0,0.1998,22534168.0,38732929.0,0.4182,14957020.35,38732929.0,0.6138
2022-02-15,8440,綠電,2022-02-16,2022-03-04,12,20,40.9,42.32,-0.0347,27,24366000.0,32005000.0,0.2387,17019800.0,32005000.0,0.4682,9836250.0,32005000.0,0.6927
2022-02-16,3066,李洲,2022-02-17,2022-03-03,10,5,37.0,38.45,-0.0392,22,1685000.0,2839000.0,0.4065,922900.0,2839000.0,0.6749,563500.0,2839000.0,0.8015
2022-02-18,5321,美而快,2022-02-21,2022-03-09,12,5,96.58,99.02,-0.0253,22,5042400.0,8457000.0,0.4038,3400700.0,8457000.0,0.5979,1828150.0,8457000.0,0.7838
2022-02-22,2745,五福,2022-02-23,2022-03-09,10,5,33.63,33.34,0.0086,16,991000.0,1670000.0,0.4066,586800.0,1670000.0,0.6486,309300.0,1670000.0,0.8148
2022-02-23,2743,山富,2022-02-24,2022-03-14,12,5,31.71,34.44,-0.0861,23,7144400.0,10546000.0,0.3225,3872700.0,10546000.0,0.6328,1963350.0,10546000.0,0.8138
2022-02-23,5301,寶得利,2022-02-24,2022-03-10,10,5,13.6,14.8,-0.0882,18,1541400.0,3057000.0,0.4958,872700.0,3057000.0,0.7145,451600.0,3057000.0,0.8523
2022-02-24,9955,佳龍,2022-02-25,2022-03-15,12,5,28.3,29.05,-0.0265,27,23655369.0,47650897.0,0.5036,13638317.7,47650897.0,0.7138,6851987.8,47650897.0,0.8562
2022-02-25,1435,中福,2022-03-01,2022-03-14,10,5,49.6,48.2,0.0282,15,762129.0,1326876.0,0.4256,482500.5,1326876.0,0.6364,295892.4,1326876.0,0.777
