date,stock_id,close
2017-01-12,2063,15.34
2017-01-13,2063,15.29
2017-01-17,2063,15.29
2017-01-18,2063,15.29
2017-01-19,2063,14.74
2017-01-20,2063,14.88
2017-01-23,2063,15.24
2017-01-24,2063,15.21
2017-01-03,2064,11.14
2017-01-04,2064,11.17
2017-01-05,2064,11.24
2017-01-06,2064,11.41
2017-01-09,2064,11.24
2017-01-10,2064,11.34
2017-01-11,2064,11.24
2017-01-12,2064,11.34
2017-01-13,2064,11.27
2017-01-16,2064,11.34
2017-01-18,2064,11.31
2017-01-19,2064,11.21
2017-01-20,2064,11.34
2017-01-24,2064,11.34
2017-01-03,2065,16.83
2017-01-04,2065,16.62
2017-01-05,2065,16.62
2017-01-09,2065,16.83
2017-01-11,2065,16.24
2017-01-13,2065,16.83
2017-01-16,2065,16.7
2017-01-17,2065,16.7
2017-01-18,2065,16.7
2017-01-19,2065,16.7
2017-01-23,2065,17.04
2017-01-24,2065,17.49
2017-01-03,2066,83.42
2017-01-04,2066,84.55
2017-01-05,2066,83.8
2017-01-06,2066,84.18
2017-01-09,2066,83.8
2017-01-10,2066,81.92
2017-01-11,2066,81.92
2017-01-12,2066,81.17
2017-01-13,2066,81.17
2017-01-16,2066,80.79
2017-01-17,2066,80.79
2017-01-18,2066,81.92
2017-01-19,2066,81.55
2017-01-20,2066,81.55
2017-01-23,2066,81.55
2017-01-24,2066,82.67
2017-01-03,2067,12.69
2017-01-04,2067,12.78
2017-01-05,2067,12.83
2017-01-06,2067,13.02
2017-01-09,2067,13.07
2017-01-10,2067,12.97
2017-01-11,2067,13.07
2017-01-12,2067,13.12
2017-01-13,2067,13.12
2017-01-16,2067,13.12
2017-01-17,2067,13.07
2017-01-18,2067,12.88
2017-01-19,2067,12.93
2017-01-20,2067,12.93
2017-01-23,2067,12.88
2017-01-24,2067,12.83
2017-01-03,2069,12.91
2017-01-04,2069,12.94
2017-01-05,2069,12.97
2017-01-06,2069,13.4
2017-01-09,2069,13.87
2017-01-10,2069,14.01
2017-01-11,2069,14.07
2017-01-12,2069,14.04
2017-01-13,2069,14.04
2017-01-16,2069,14.04
2017-01-17,2069,13.75
2017-01-18,2069,13.81
2017-01-19,2069,13.64
2017-01-20,2069,14.1
2017-01-23,2069,14.33
2017-01-24,2069,14.25
2017-01-03,2070,52.31
2017-01-04,2070,52.7
2017-01-05,2070,52.77
2017-01-06,2070,53.38
2017-01-09,2070,53.84
2017-01-10,2070,53.46
2017-01-11,2070,53.68
2017-01-12,2070,53.46
2017-01-13,2070,53.69
2017-01-16,2070,53.31
2017-01-17,2070,53.46
2017-01-18,2070,53.31
2017-01-19,2070,53.46
2017-01-20,2070,53.46
2017-01-23,2070,53.23
2017-01-24,2070,53.46
2017-01-03,2101,25.45
2017-01-04,2101,25.58
2017-01-05,2101,25.67
2017-01-06,2101,25.8
2017-01-09,2101,25.75
2017-01-10,2101,25.49
2017-01-11,2101,25.62
2017-01-12,2101,25.58
2017-01-13,2101,25.62
2017-01-16,2101,25.58
2017-01-17,2101,25.8
2017-01-18,2101,25.8
2017-01-19,2101,25.71
2017-01-20,2101,25.71
2017-01-23,2101,25.58
2017-01-24,2101,25.75
2017-01-03,2102,12.8
2017-01-04,2102,12.9
2017-01-05,2102,13.29
2017-01-06,2102,13.24
2017-01-09,2102,13.44
2017-01-10,2102,13.39
2017-01-11,2102,13.49
2017-01-12,2102,13.44
2017-01-13,2102,13.39
2017-01-16,2102,13.19
2017-01-17,2102,13.34
2017-01-19,2102,13.0
2017-01-20,2102,14.29
2017-01-23,2102,15.68
2017-01-24,2102,16.57
2017-01-03,2103,25.17
2017-01-04,2103,25.43
2017-01-05,2103,25.76
2017-01-06,2103,25.54
2017-01-09,2103,25.84
2017-01-10,2103,26.02
2017-01-11,2103,26.58
2017-01-12,2103,26.84
2017-01-13,2103,26.51
2017-01-16,2103,28.03
2017-01-17,2103,28.97
2017-01-18,2103,28.03
2017-01-19,2103,27.55
2017-01-20,2103,27.59
2017-01-23,2103,27.33
2017-01-24,2103,26.92
2017-01-03,2104,18.7
2017-01-04,2104,18.73
2017-01-05,2104,18.86
2017-01-06,2104,18.83
2017-01-09,2104,18.73
2017-01-10,2104,18.89
2017-01-11,2104,18.79
2017-01-12,2104,18.7
2017-01-13,2104,18.63
2017-01-16,2104,18.63
2017-01-17,2104,18.79
