combination,remark,count,mean_avg_monthly_return
201504-201510,winner,13,-0.009729297837594618
201504-201510,winner - loser,-,-0.01705553403240876
201505-201511,loser,14,0.0020179036661293454
201505-201511,winner,13,-0.00017218770206874388
201505-201511,winner - loser,-,-0.002190091368198089
201506-201512,loser,14,0.00836037012448503
201506-201512,winner,13,0.0017485821168450237
201506-201512,winner - loser,-,-0.006611788007640007
201507-201601,loser,14,0.009539670331503871
201507-201601,winner,12,-0.003995471108698541
201507-201601,winner - loser,-,-0.013535141440202413
201508-201602,loser,14,0.012828775587186567
201508-201602,winner,13,0.00830622729226601
201508-201602,winner - loser,-,-0.004522548294920558
201509-201603,loser,14,0.014880186079516466
201509-201603,winner,13,0.008114598554443905
201509-201603,winner - loser,-,-0.006765587525072562
201510-201604,loser,14,0.008820762849322825
201510-201604,winner,13,0.0082682598984055
201510-201604,winner - loser,-,-0.0005525029509173256
201511-201605,loser,14,0.021880780360144642
201511-201605,winner,13,0.01060210620238785
201511-201605,winner - loser,-,-0.011278674157756793
201512-201606,loser,14,0.02003464148286921
201512-201606,winner,13,0.0168980057341151
201512-201606,winner - loser,-,-0.0031366357487541095
201601-201607,loser,14,0.02187282989294979
201601-201607,winner,14,0.009127018896066066
201601-201607,winner - loser,-,-0.012745810996883725
201602-201608,loser,14,0.0067249628329928025
201602-201608,winner,14,0.009466096785393365
201602-201608,winner - loser,-,0.0027411339524005627
201603-201609,loser,14,0.027307489769244082
201603-201609,winner,14,0.007067052209782844
201603-201609,winner - loser,-,-0.020240437559461238
201604-201610,loser,14,0.019199737852121423
201604-201610,winner,14,0.0022194596878976625
201604-201610,winner - loser,-,-0.01698027816422376
201605-201611,loser,14,0.013013060134091385
201605-201611,winner,14,0.008144425479190824
201605-201611,winner - loser,-,-0.004868634654900561
201606-201612,loser,14,0.019618045467821792
201606-201612,winner,14,0.011649716743104499
201606-201612,winner - loser,-,-0.007968328724717293
201607-201701,loser,14,0.017222556902729447
201607-201701,winner,14,0.01591700335520646
201607-201701,winner - loser,-,-0.0013055535475229862
201608-201702,loser,14,0.014906688083297068
201608-201702,winner,14,0.01640142792028698
201608-201702,winner - loser,-,0.0014947398369899133
201609-201703,loser,14,0.008317818662626184
201609-201703,winner,14,0.01035167312043551
201609-201703,winner - loser,-,0.002033854457809325
201610-201704,loser,14,0.012921192989534655
201610-201704,winner,14,0.02069499212018395
201610-201704,winner - loser,-,0.007773799130649293
201611-201705,loser,14,0.0010419845262855981
201611-201705,winner,14,0.020731885829051794
201611-201705,winner - loser,-,0.019689901302766197
201612-201706,loser,14,0.0030259223114683493
201612-201706,winner,14,0.02572994866655916
201612-201706,winner - loser,-,0.022704026355090813
201701-201707,loser,14,0.008882732464726515
201701-201707,winner,14,0.014639818185945539
201701-201707,winner - loser,-,0.005757085721219024
201702-201708,loser,14,0.010616390565204034
201702-201708,winner,14,0.004654176507795775
201702-201708,winner - loser,-,-0.005962214057408259
201703-201709,loser,14,0.00883504964284852
201703-201709,winner,14,-0.011568036878941463
201703-201709,winner - loser,-,-0.020403086521789984
201704-201710,loser,14,0.0038264925108550873
