combination,remark,count,mean_avg_monthly_return
201711-201808,loser,14,-0.013643924873999767
201711-201808,winner,13,-0.015447110808827273
201711-201808,winner - loser,-,-0.0018031859348275059
201712-201809,loser,14,-0.0015894975132449102
201712-201809,winner,14,-0.0079497907706528
201712-201809,winner - loser,-,-0.00636029325740789
201801-201810,loser,14,0.0009508238735311179
201801-201810,winner,14,-0.0017748663925857594
201801-201810,winner - loser,-,-0.0027256902661168775
201802-201811,loser,14,0.01639871168005591
201802-201811,winner,13,0.017385715898727703
201802-201811,winner - loser,-,0.0009870042186717921
201803-201812,loser,14,0.013419316899494176
201803-201812,winner,13,0.012715661645184647
201803-201812,winner - loser,-,-0.0007036552543095292
201804-201901,loser,14,0.02690806780314327
201804-201901,winner,13,0.023996063315140096
201804-201901,winner - loser,-,-0.0029120044880031754
201805-201902,loser,14,0.021230911836787984
201805-201902,winner,13,0.010005649298983937
201805-201902,winner - loser,-,-0.011225262537804048
201806-201903,loser,14,0.004306261557217924
201806-201903,winner,14,0.009600215751533303
201806-201903,winner - loser,-,0.005293954194315379
201807-201904,loser,14,-0.009907180364781736
201807-201904,winner,14,-0.011225109271504346
201807-201904,winner - loser,-,-0.0013179289067226096
201808-201905,loser,14,0.006844631555811442
201808-201905,winner,14,-0.0020263910963678666
201808-201905,winner - loser,-,-0.00887102265217931
201809-201906,loser,14,0.00865243275665675
201809-201906,winner,14,0.007346748373863986
201809-201906,winner - loser,-,-0.0013056843827927633
201810-201907,loser,14,-7.924926568100446e-05
201810-201907,winner,14,0.015561026039570824
201810-201907,winner - loser,-,0.01564027530525183
201811-201908,loser,14,0.0052005995947474225
201811-201908,winner,14,0.018359271458707138
201811-201908,winner - loser,-,0.013158671863959717
201812-201909,loser,14,0.004243820340547441
201812-201909,winner,14,0.02205944638611131
201812-201909,winner - loser,-,0.01781562604556387
201901-201910,loser,14,-0.002762735922787355
201901-201910,winner,14,0.016086379166738368
201901-201910,winner - loser,-,0.018849115089525723
201902-201911,loser,14,0.0065305038314257425
201902-201911,winner,14,0.012299699309538201
201902-201911,winner - loser,-,0.005769195478112459
201903-201912,loser,14,0.008520475022055234
