industry_category,stock_id,stock_name,type,date
電機機械,2066,世德,tpex,2025-07-16
電機機械,2067,嘉鋼,tpex,2025-07-16
鋼鐵工業,2069,運錩,twse,2025-07-16
電機機械,2070,精湛,tpex,2025-07-16
鋼鐵工業,2073,雄順,tpex,2025-07-16
橡膠工業,2101,南港,twse,2025-07-16
橡膠工業,2102,泰豐,twse,2025-07-16
橡膠工業,2103,台橡,twse,2025-07-16
橡膠工業,2104,國際中橡,twse,2025-07-16
橡膠工業,2105,正新,twse,2025-07-16
橡膠工業,2106,建大,twse,2025-07-16
橡膠工業,2107,厚生,twse,2025-07-16
橡膠工業,2108,南帝,twse,2025-07-16
橡膠工業,2109,華豐,twse,2025-07-16
橡膠工業,2114,鑫永銓,twse,2025-07-16
汽車工業,2115,六暉-KY,twse,2025-07-16
汽車工業,2201,裕隆,twse,2025-07-16
汽車工業,2204,中華,twse,2025-07-16
汽車工業,2206,三陽工業,twse,2025-07-16
汽車工業,2207,和泰車,twse,2025-07-16
航運業,2208,台船,twse,2025-07-16
鋼鐵工業,2211,長榮鋼,twse,2025-07-16
其他,2221,大甲,tpex,2025-07-16
汽車工業,2227,裕日車,twse,2025-07-16
汽車工業,2228,劍麟,twse,2025-07-16
電機機械,2230,泰茂,tpex,2025-07-16
汽車工業,2231,為升,twse,2025-07-16
汽車工業,2233,宇隆,twse,2025-07-16
電機機械,2235,謚源,tpex,2025-07-16
汽車工業,2236,百達-KY,twse,2025-07-16
汽車工業,2239,英利-KY,twse,2025-07-16
汽車工業,2241,艾姆勒,twse,2025-07-16
汽車工業,2243,宏旭-KY,twse,2025-07-16
汽車工業,2247,汎德永業,twse,2025-07-16
汽車工業,2248,華勝-KY,twse,2025-07-16
汽車工業,2250,IKKA-KY,twse,2025-07-16
汽車工業,2254,巨鎧精密-創,twse,2025-07-16
汽車工業,2258,鴻華先進-創,twse,2025-07-16
電子工業,2301,光寶科,twse,2025-07-16
半導體業,2302,麗正,twse,2025-07-16
電子工業,2303,聯電,twse,2025-07-16
電腦及週邊設備業,2305,全友,twse,2025-07-16
電子零組件業,2308,台達電,twse,2025-07-16
半導體業,2311,日月光,twse,2025-06-06
電子工業,2312,金寶,twse,2025-07-16
電子零組件業,2313,華通,twse,2025-07-16
電子工業,2314,台揚,twse,2025-07-16
電腦及週邊設備業,2315,神達,twse,2024-12-04
電子零組件業,2316,楠梓電,twse,2025-07-16
電子工業,2317,鴻海,twse,2025-07-16
通信網路業,2321,東訊,twse,2025-07-16
光電業,2323,中環,twse,2025-07-16
電腦及週邊設備業,2324,仁寶,twse,2025-07-16
半導體業,2325,矽品,twse,2025-06-06
電子零組件業,2327,國巨,twse,2025-07-16
電子零組件業,2328,廣宇,twse,2025-07-16
半導體業,2329,華泰,twse,2025-07-16
電子工業,2330,台積電,twse,2025-07-16
電腦及週邊設備業,2331,精英,twse,2025-07-16
電子工業,2332,友訊,twse,2025-07-16
電腦及週邊設備業,2336,致伸,twse,2024-12-04
電子工業,2337,旺宏,twse,2025-07-16
電子工業,2338,光罩,twse,2025-07-16
電子工業,2340,台亞,twse,2025-07-16
