combination,remark,count,mean_avg_monthly_return
201602-201702,loser,14,0.02286326667408919
201602-201702,winner,14,0.015069332496531751
201602-201702,winner - loser,-,-0.00779393417755744
201603-201703,loser,14,0.009127863234358278
201603-201703,winner,14,-0.0018864940652233192
201603-201703,winner - loser,-,-0.011014357299581596
201604-201704,loser,14,0.028325668654468655
201604-201704,winner,14,0.02447349415795847
201604-201704,winner - loser,-,-0.0038521744965101835
201605-201705,loser,14,0.03525947704027598
201605-201705,winner,14,0.055563567499527636
201605-201705,winner - loser,-,0.020304090459251654
201606-201706,loser,14,0.00721537465838225
201606-201706,winner,14,0.06033305463730071
201606-201706,winner - loser,-,0.05311767997891846
201607-201707,loser,14,-0.004199585268104124
201607-201707,winner,14,0.05903663084360644
201607-201707,winner - loser,-,0.06323621611171057
201608-201708,loser,14,0.010337119555150811
201608-201708,winner,14,0.029479123799273105
201608-201708,winner - loser,-,0.019142004244122296
201609-201709,loser,14,-0.0030831655531282803
201609-201709,winner,14,-0.014086874907996752
201609-201709,winner - loser,-,-0.011003709354868472
201610-201710,loser,14,0.020536553591086453
201610-201710,winner,14,0.017628519500496338
201610-201710,winner - loser,-,-0.0029080340905901156
201611-201711,loser,14,-0.0006117144223466828
201611-201711,winner,14,-0.017241593541810603
201611-201711,winner - loser,-,-0.01662987911946392
201612-201712,loser,14,0.01584165874845911
201612-201712,winner,14,-0.0007447545971019773
201612-201712,winner - loser,-,-0.016586413345561084
201701-201801,loser,14,-0.005653263358341765
201701-201801,winner,14,-0.022481590026247143
201701-201801,winner - loser,-,-0.016828326667905378
201702-201802,loser,14,-0.009904975250196109
201702-201802,winner,14,-0.0025826181303434553
201702-201802,winner - loser,-,0.007322357119852654
201703-201803,loser,14,-0.003479364825278719
201703-201803,winner,14,-0.004304968414643292
201703-201803,winner - loser,-,-0.000825603589364573
201704-201804,loser,14,-0.027931104253654773
201704-201804,winner,14,0.0029627951960161025
201704-201804,winner - loser,-,0.030893899449670876
201705-201805,loser,14,0.021571394184378225
