stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank,start_date2,SD_close2,end_date2,ED_close2,return2
2903,2012-04-02,2012-06-29,18.09,13.57,201204-201207,-0.249861802100608,16.776924911041778,loser,145.0,2012-07-09,13.96,2013-04-19,13.86,-0.007163323782235058
3008,2012-04-02,2012-06-29,402.27,445.53,201204-201207,0.1075397121336415,80.33510177656072,winner,7.0,2012-07-09,414.53,2013-04-19,531.28,0.28164427182592333
3045,2012-04-02,2012-06-29,49.03,53.01,201204-201207,0.0811747909443197,75.64651972735852,winner,11.0,2012-07-09,54.42,2013-04-19,59.01,0.08434399117971327
3474,2012-04-02,2012-06-29,8.65,6.87,201204-201207,-0.2057803468208092,24.616110867390557,loser,139.0,2012-07-09,6.91,2013-04-19,11.1,0.6063675832127351
3697,2012-04-02,2012-06-29,165.91,185.48,201204-201207,0.1179555180519558,82.1873872549016,winner,4.0,2012-07-09,188.68,2013-04-19,241.34,0.27909688361246554
5871,2012-04-02,2012-06-29,16.36,18.13,201204-201207,0.1081907090464547,80.4508712270963,winner,6.0,2012-07-09,18.38,2013-04-19,35.09,0.9091403699673561
6176,2012-04-02,2012-06-29,46.16,54.09,201204-201207,0.1717937608318892,91.76166274186266,winner,1.0,2012-07-09,48.5,2013-04-19,47.01,-0.030721649484536123
8046,2012-04-02,2012-06-29,45.54,36.19,201204-201207,-0.2053140096618357,24.699041516670277,loser,137.0,2012-07-09,36.26,2013-04-19,24.87,-0.3141202426916712
9914,2012-04-02,2012-06-29,59.57,63.7,201204-201207,0.0693301997649824,73.54014750705878,winner,14.0,2012-07-09,74.32,2013-04-19,126.63,0.7038482238966631
9933,2012-04-02,2012-06-29,26.57,29.14,201204-201207,0.0967256304102371,78.41198927859902,winner,8.0,2012-07-09,30.66,2013-04-19,32.66,0.06523157208088703
2106,2012-05-02,2012-07-31,15.32,18.15,201205-201208,0.1847258485639685,79.21825084183412,winner,5.0,2012-08-08,18.45,2013-05-21,30.47,0.6514905149051491
2207,2012-05-02,2012-07-31,129.27,144.73,201205-201208,0.1195946468631544,69.9223101521391,winner,13.0,2012-08-08,157.34,2013-05-21,217.46,0.3821024532858777
2308,2012-05-02,2012-07-31,60.57,68.85,201205-201208,0.1367013372956908,72.36388616340813,winner,11.0,2012-08-08,67.16,2013-05-21,99.38,0.47974985110184637
2311,2012-05-02,2012-07-31,20.79,16.05,201205-201208,-0.2279942279942279,20.312208070579405,loser,139.0,2012-08-08,17.21,2013-05-21,20.93,0.21615339918651938
2337,2012-05-02,2012-07-31,14.97,11.74,201205-201208,-0.2157648630594522,22.057661066035035,loser,138.0,2012-08-08,11.94,2013-05-21,12.22,0.023450586264656712
2353,2012-05-02,2012-07-31,21.9,17.27,201205-201208,-0.2114155251141552,22.67842632942822,loser,135.0,2012-08-08,16.33,2013-05-21,15.46,-0.0532761788120023
2379,2012-05-02,2012-07-31,34.79,27.42,201205-201208,-0.2118424834722621,22.61748810826407,loser,136.0,2012-08-08,28.63,2013-05-21,48.58,0.6968215158924206
2384,2012-05-02,2012-07-31,19.7,13.15,201205-201208,-0.33248730964467,5.398288717947147,loser,148.0,2012-08-08,14.35,2013-05-21,15.4,0.07317073170731712
2385,2012-05-02,2012-07-31,23.14,25.86,201205-201208,0.1175453759723422,69.6298251348103,winner,14.0,2012-08-08,27.02,2013-05-21,38.08,0.4093264248704663
2393,2012-05-02,2012-07-31,30.39,23.14,201205-201208,-0.238565317538664,18.803434719798368,loser,142.0,2012-08-08,23.77,2013-05-21,27.48,0.15607909129154401
2409,2012-05-02,2012-07-31,9.52,6.46,201205-201208,-0.3214285714285714,6.976662398689952,loser,147.0,2012-08-08,6.1,2013-05-21,9.52,0.5606557377049181
2448,2012-05-02,2012-07-31,67.32,51.9,201205-201208,-0.2290552584670231,20.16077103138011,loser,140.0,2012-08-08,56.06,2013-05-21,53.47,-0.046200499464859136
2474,2012-05-02,2012-07-31,111.01,80.49,201205-201208,-0.2749301864696875,13.613208592478175,loser,145.0,2012-08-08,78.27,2013-05-21,92.99,0.1880669477449853
2498,2012-05-02,2012-07-31,412.44,283.44,201205-201208,-0.3127727669479197,8.212074044299563,loser,146.0,2012-08-08,229.08,2013-05-21,280.05,0.22249869041382922
