,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
51,2017-01-12,8464,1614834,461267622,286.0,290.0,281.0,285.0,2.0,1370
52,2017-01-13,8464,840800,241325400,286.0,291.0,283.5,287.5,2.5,763
53,2017-01-16,8464,932039,273639783,287.5,297.0,285.0,296.0,8.5,590
54,2017-01-17,8464,1309022,391805238,299.0,303.0,293.0,296.0,0.0,858
55,2017-01-18,8464,825154,245784276,296.0,301.5,295.5,296.0,0.0,644
56,2017-01-19,8464,1103679,323351070,296.0,297.0,288.0,291.0,-5.0,988
57,2017-01-20,8464,576696,167236884,290.5,293.0,287.0,289.5,-1.5,454
58,2017-01-23,8464,1049171,301043188,293.0,293.0,282.0,283.0,-6.5,961
59,2017-01-24,8464,1237049,358498232,277.0,294.5,277.0,292.5,9.5,1072
60,2017-02-02,8464,1793840,532237887,290.5,300.0,289.5,291.5,-1.0,1505
61,2017-02-03,8464,1519737,453958989,294.0,302.0,294.0,299.0,7.5,1260
62,2017-02-06,8464,1209617,374893206,303.0,313.0,303.0,313.0,14.0,951
63,2017-02-07,8464,720904,222478382,313.0,313.0,306.0,310.5,-2.5,596
64,2017-02-08,8464,1313420,411340510,309.0,317.0,307.0,317.0,6.5,981
65,2017-02-09,8464,894463,280399419,317.0,317.0,310.0,314.5,-2.5,766
66,2017-02-10,8464,1001352,311123064,315.0,316.5,304.5,305.0,-9.5,885
67,2017-02-13,8464,524579,162887885,309.0,312.0,307.5,311.0,6.0,439
68,2017-02-14,8464,763342,237292020,311.0,313.0,308.0,310.5,-0.5,640
69,2017-02-15,8464,410173,127398957,310.5,312.0,308.5,311.5,1.0,352
70,2017-02-16,8464,659578,203890790,311.0,315.0,305.0,305.0,-6.5,596
71,2017-02-17,8464,654150,203181925,305.5,313.0,305.5,312.0,7.0,518
72,2017-02-18,8464,229124,72217812,313.5,317.0,313.5,315.5,3.5,203
73,2017-02-20,8464,579118,182429552,315.0,316.5,312.5,316.5,1.0,447
74,2017-02-21,8464,1134188,360095249,321.0,327.5,309.5,312.0,-4.5,1001
75,2017-02-22,8464,659132,203780721,312.5,314.0,305.0,308.0,-4.0,594
76,2017-02-23,8464,257000,78877000,310.5,311.0,305.0,307.0,-1.0,247
77,2017-02-24,8464,854339,259193039,307.0,309.0,300.5,300.5,-6.5,333
78,2017-03-01,8464,558026,171207482,298.5,311.0,298.5,309.5,9.0,526
79,2017-03-02,8464,365097,111082147,311.0,311.5,301.0,302.5,-7.0,300
80,2017-03-03,8464,978542,306228020,302.0,316.0,301.5,312.0,9.5,752
81,2017-03-06,8464,586857,179813385,307.0,310.0,303.5,305.0,-7.0,467
82,2017-03-07,8464,441846,133417954,303.0,308.5,300.0,300.0,-5.0,423
83,2017-03-08,8464,212145,63031210,300.0,301.0,295.0,296.5,-3.5,215
84,2017-03-09,8464,905505,259868430,296.0,297.0,281.0,281.0,-15.5,846
85,2017-03-10,8464,454131,128210923,285.0,288.0,278.5,281.5,0.5,430
86,2017-03-13,8464,798479,223315244,284.5,284.5,278.0,279.5,-2.0,435
87,2017-03-14,8464,1041569,284850619,279.0,279.5,271.0,272.0,-7.5,863
88,2017-03-15,8464,974571,265565025,272.0,274.0,271.0,273.0,1.0,686
89,2017-03-16,8464,697044,192085556,273.5,278.0,273.0,274.0,1.0,659
90,2017-03-17,8464,1344453,385268276,276.5,294.0,275.5,293.0,19.0,1187
91,2017-03-20,8464,579092,164805996,293.0,293.0,282.5,284.0,-9.0,519
92,2017-03-21,8464,381293,110290115,285.0,291.5,285.0,289.5,5.5,344
93,2017-03-22,8464,812914,229202248,287.0,288.0,278.0,282.0,-7.5,695
94,2017-03-23,8464,534131,153414398,284.5,289.0,283.0,288.0,6.0,499
95,2017-03-24,8464,412452,116703676,288.0,288.0,281.0,281.5,-6.5,390
96,2017-03-27,8464,367176,103328216,282.0,284.0,279.0,281.0,-0.5,345
97,2017-03-28,8464,488282,138023626,282.5,287.5,278.0,284.0,3.0,443
98,2017-03-29,8464,294374,82854708,284.5,284.5,280.0,281.0,-3.0,276
99,2017-03-30,8464,558839,155470259,281.0,281.0,275.0,279.0,-2.0,491
100,2017-03-31,8464,570536,159571347,281.0,284.0,275.5,283.0,4.0,484
101,2017-04-05,8464,561561,156735263,280.0,281.0,277.5,279.0,-4.0,517
102,2017-04-06,8464,450058,125717088,279.0,282.0,276.0,278.5,-0.5,418
103,2017-04-07,8464,416231,114784180,276.5,279.0,274.0,275.0,-3.5,355
104,2017-04-10,8464,395495,107946125,275.0,277.0,269.5,272.5,-2.5,359
105,2017-04-11,8464,620065,168284375,276.0,276.0,269.5,269.5,-3.0,386
106,2017-04-12,8464,1086300,278913500,270.5,270.5,252.5,254.0,-15.5,1015
107,2017-04-13,8464,1129208,292903200,254.0,269.0,253.0,269.0,15.0,672
108,2017-04-14,8464,433050,113789550,273.0,273.0,258.5,261.0,-8.0,406
109,2017-04-17,8464,206170,54053550,260.5,267.0,260.0,262.0,1.0,207
110,2017-04-18,8464,499285,131713595,262.0,270.0,261.0,270.0,8.0,485
111,2017-04-19,8464,775196,207291638,265.5,270.0,265.0,267.0,-3.0,606
112,2017-04-20,8464,282994,75943850,265.5,271.0,264.5,269.5,2.5,275
113,2017-04-21,8464,399302,109979258,271.0,280.0,269.5,280.0,10.5,389
114,2017-04-24,8464,608333,170050407,275.5,282.5,275.0,279.0,-1.0,519
115,2017-04-25,8464,632261,178142993,282.0,283.5,278.5,283.5,4.5,568
116,2017-04-26,8464,708313,202776983,285.5,289.5,281.0,289.5,6.0,660
117,2017-04-27,8464,670114,197021358,289.5,299.0,287.0,299.0,9.5,609
118,2017-04-28,8464,1414468,429066035,299.0,306.0,298.0,305.5,6.5,839
