stock_id,start_date,end_date,SD_close,ED_close,combination,return_rank
2609,2010-01-04,2010-03-31,13.05,12.67,201001-201004,
2610,2010-01-04,2010-03-31,9.18,9.38,201001-201004,
2612,2010-01-04,2010-03-31,56.29,51.91,201001-201004,
2615,2010-01-04,2010-03-31,6.8,6.98,201001-201004,
2617,2010-01-04,2010-03-31,23.71,21.08,201001-201004,
2618,2010-01-04,2010-03-31,8.13,8.68,201001-201004,
2633,2010-01-04,2010-03-31,3.16,3.58,201001-201004,
2637,2010-01-04,2010-03-31,12.82,14.1,201001-201004,
2704,2010-01-04,2010-03-31,31.66,28.13,201001-201004,
2707,2010-01-04,2010-03-31,118.41,100.12,201001-201004,
2801,2010-01-04,2010-03-31,6.58,6.23,201001-201004,
2809,2010-01-04,2010-03-31,5.3,5.23,201001-201004,
2812,2010-01-04,2010-03-31,3.24,3.17,201001-201004,
2820,2010-01-04,2010-03-17,3.54,3.67,201001-201004,
2823,2010-01-04,2010-03-31,8.17,8.15,201001-201004,
2833,2010-01-04,2010-03-31,28.4,28.77,201001-201004,
2834,2010-01-04,2010-03-31,3.67,3.72,201001-201004,
2837,2010-01-04,2010-03-31,7.68,12.9,201001-201004,
2838,2010-01-04,2010-03-31,2.88,2.74,201001-201004,
2845,2010-01-04,2010-03-31,4.51,3.87,201001-201004,
2847,2010-01-04,2010-03-31,5.4,4.92,201001-201004,
2849,2010-01-04,2010-03-31,5.38,5.16,201001-201004,
2854,2010-01-04,2010-03-31,17.43,15.42,201001-201004,
2855,2010-01-04,2010-03-31,8.97,7.38,201001-201004,
2856,2010-01-04,2010-03-31,9.58,8.81,201001-201004,
2880,2010-01-04,2010-03-31,6.77,6.6,201001-201004,
2881,2010-01-04,2010-03-31,14.56,14.34,201001-201004,
2882,2010-01-04,2010-03-31,27.05,24.09,201001-201004,
2883,2010-01-04,2010-03-31,5.12,4.66,201001-201004,
2884,2010-01-04,2010-03-31,3.67,3.53,201001-201004,
2885,2010-01-04,2010-03-31,10.55,8.61,201001-201004,
2886,2010-01-04,2010-03-31,8.55,8.46,201001-201004,
2887,2010-01-04,2010-03-31,3.73,3.81,201001-201004,
2887C,2010-01-04,2010-03-31,26.15,28.85,201001-201004,
2888,2010-01-04,2010-03-31,8.73,8.27,201001-201004,
2889,2010-01-04,2010-03-31,4.21,4.11,201001-201004,
2890,2010-01-04,2010-03-31,4.75,4.23,201001-201004,
2891,2010-01-04,2010-03-31,6.6,5.94,201001-201004,
2892,2010-01-04,2010-03-31,6.94,6.13,201001-201004,
2897,2010-01-04,2010-03-31,5.07,5.54,201001-201004,
2903,2010-01-04,2010-03-31,15.74,11.31,201001-201004,
2905,2010-01-04,2010-03-31,6.44,6.38,201001-201004,
2908,2010-01-04,2010-03-31,8.38,8.98,201001-201004,
2912,2010-01-04,2010-03-31,47.57,49.57,201001-201004,
2913,2010-01-04,2010-03-31,16.54,16.01,201001-201004,
2915,2010-01-04,2010-03-31,37.16,46.89,201001-201004,
3005,2010-01-04,2010-03-31,12.59,10.72,201001-201004,
3006,2010-01-04,2010-03-31,32.09,29.52,201001-201004,
3008,2010-01-04,2010-03-31,290.98,334.0,201001-201004,
3009,2010-01-04,2010-03-05,24.05,22.85,201001-201004,
3016,2010-01-04,2010-03-31,32.0,32.39,201001-201004,
3017,2010-01-04,2010-03-31,20.14,18.86,201001-201004,
3019,2010-01-04,2010-03-31,58.42,49.21,201001-201004,
3022,2010-01-04,2010-03-31,29.1,28.96,201001-201004,
3023,2010-01-04,2010-03-31,11.16,10.88,201001-201004,
3026,2010-01-04,2010-03-31,33.49,34.06,201001-201004,
3034,2010-01-04,2010-03-31,39.94,37.48,201001-201004,
3035,2010-01-04,2010-03-31,60.17,51.45,201001-201004,
3036,2010-01-04,2010-03-31,8.98,9.52,201001-201004,
3037,2010-01-04,2010-03-31,31.18,28.02,201001-201004,
3041,2010-01-04,2010-03-31,172.56,165.07,201001-201004,
3042,2010-01-04,2010-03-31,23.14,21.92,201001-201004,
3044,2010-01-04,2010-03-31,46.08,46.73,201001-201004,
3045,2010-01-04,2010-03-31,32.88,31.36,201001-201004,
3049,2010-01-04,2010-03-31,40.62,33.84,201001-201004,
3059,2010-01-04,2010-03-31,47.56,41.67,201001-201004,
3060,2010-01-04,2010-03-31,33.37,43.06,201001-201004,
3061,2010-01-04,2010-03-31,48.75,43.77,201001-201004,
3062,2010-01-04,2010-03-31,35.43,31.5,201001-201004,
3149,2010-01-04,2010-03-31,116.55,96.4,201001-201004,
3189,2010-01-04,2010-03-31,51.33,50.6,201001-201004,
3231,2010-01-04,2010-03-31,18.17,17.05,201001-201004,
3311,2010-01-04,2010-03-31,124.36,122.25,201001-201004,
3367,2010-01-04,2010-03-31,31.55,26.34,201001-201004,
3376,2010-01-04,2010-03-31,75.73,65.33,201001-201004,
3383,2010-01-04,2010-03-31,173.82,201.83,201001-201004,
3406,2010-01-04,2010-03-31,45.14,39.25,201001-201004,
3443,2010-01-04,2010-03-31,113.16,99.36,201001-201004,
3474,2010-01-04,2010-03-31,25.82,25.6,201001-201004,
3481,2010-01-04,2010-03-31,37.59,35.92,201001-201004,
3504,2010-01-04,2010-03-31,226.39,210.21,201001-201004,
3514,2010-01-04,2010-03-31,75.03,85.02,201001-201004,
3515,2010-01-04,2010-03-31,54.52,49.95,201001-201004,
3519,2010-01-04,2010-03-31,65.21,63.32,201001-201004,
3532,2010-01-04,2010-03-31,128.6,142.41,201001-201004,
3533,2010-01-04,2010-03-31,92.44,101.42,201001-201004,
3534,2010-01-04,2010-03-31,113.33,114.25,201001-201004,
3561,2010-01-04,2010-03-31,44.5,55.01,201001-201004,
3573,2010-01-04,2010-03-31,131.81,146.99,201001-201004,
3576,2010-01-04,2010-03-31,115.44,122.75,201001-201004,
3622,2010-01-04,2010-03-31,239.83,230.91,201001-201004,
3653,2010-01-04,2010-03-31,82.79,76.16,201001-201004,
3702,2010-01-04,2010-03-31,20.33,19.29,201001-201004,
4426,2010-01-04,2010-03-31,3.73,3.8,201001-201004,
4532,2010-01-04,2010-03-31,4.94,6.02,201001-201004,
4725,2010-01-04,2010-03-31,69.9,116.86,201001-201004,
4733,2010-01-04,2010-03-31,49.49,48.04,201001-201004,
4736,2010-01-04,2010-03-31,58.93,56.73,201001-201004,
4904,2010-01-04,2010-03-31,18.39,18.34,201001-201004,
4906,2010-01-04,2010-03-31,30.37,26.86,201001-201004,
4915,2010-01-04,2010-03-30,20.07,16.02,201001-201004,
5007,2010-01-04,2010-03-31,9.94,10.32,201001-201004,
5203,2010-01-04,2010-03-31,73.84,80.98,201001-201004,
5306,2010-01-04,2010-03-31,3.64,3.68,201001-201004,
5388,2010-01-04,2010-03-31,13.23,11.92,201001-201004,
5434,2010-01-04,2010-03-31,15.83,15.48,201001-201004,
5469,2010-01-04,2010-03-31,17.69,16.7,201001-201004,
5522,2010-01-04,2010-03-31,21.68,19.36,201001-201004,
5531,2010-01-04,2010-03-31,14.63,13.15,201001-201004,
5534,2010-01-04,2010-03-31,20.67,16.95,201001-201004,
5608,2010-01-04,2010-03-31,41.63,37.34,201001-201004,
5854,2010-01-04,2010-03-31,16.64,15.89,201001-201004,
6005,2010-01-04,2010-03-31,7.83,6.46,201001-201004,
6116,2010-01-04,2010-03-31,11.72,9.58,201001-201004,
6120,2010-01-04,2010-03-31,33.1,26.15,201001-201004,
6153,2010-01-04,2010-03-31,16.95,17.73,201001-201004,
6166,2010-01-04,2010-03-31,12.56,14.71,201001-201004,
6176,2010-01-04,2010-03-31,14.46,13.59,201001-201004,
6197,2010-01-04,2010-03-31,54.86,80.45,201001-201004,
6206,2010-01-04,2010-03-31,23.74,23.27,201001-201004,
6213,2010-01-04,2010-03-31,12.71,16.44,201001-201004,
6214,2010-01-04,2010-03-31,19.2,18.61,201001-201004,
6230,2010-01-04,2010-03-31,32.99,28.92,201001-201004,
6239,2010-01-04,2010-03-31,47.24,49.19,201001-201004,
6269,2010-01-04,2010-03-31,19.93,18.51,201001-201004,
6271,2010-01-04,2010-03-31,71.32,83.31,201001-201004,
6278,2010-01-04,2010-03-31,29.69,25.11,201001-201004,
6282,2010-01-04,2010-03-31,13.36,12.2,201001-201004,
6285,2010-01-04,2010-03-31,21.51,22.9,201001-201004,
6286,2010-01-04,2010-03-31,238.16,249.53,201001-201004,
