Stock_id,Start_Date,End_Date,Start_Price,End_Price,Return,combination,rank
2382,2016-05-03,2016-10-31,52.5,64.0,0.21904761904761905,2016-05-03_2016-10-31,36
2845,2016-05-03,2016-10-31,9.29,8.98,-0.03336921420882656,2016-05-03_2016-10-31,152
2867,2016-05-03,2016-10-31,15.25,15.2,-0.0032786885245902103,2016-05-03_2016-10-31,132
2379,2016-05-03,2016-10-31,91.3,107.0,0.17196056955093103,2016-05-03_2016-10-31,45
2880,2016-05-03,2016-10-31,15.8,16.05,0.01582278481012658,2016-05-03_2016-10-31,116
2881,2016-05-03,2016-10-31,38.95,44.8,0.15019255455712435,2016-05-03_2016-10-31,54
2377,2016-05-03,2016-10-31,51.2,90.9,0.775390625,2016-05-03_2016-10-31,4
2882,2016-05-03,2016-10-31,36.25,40.95,0.12965517241379318,2016-05-03_2016-10-31,62
2883,2016-05-03,2016-10-31,8.12,7.91,-0.02586206896551713,2016-05-03_2016-10-31,149
2376,2016-05-03,2016-10-31,33.95,41.55,0.22385861561119275,2016-05-03_2016-10-31,35
2884,2016-05-03,2016-10-31,17.7,17.95,0.014124293785310734,2016-05-03_2016-10-31,117
2885,2016-05-03,2016-10-31,10.65,11.8,0.10798122065727703,2016-05-03_2016-10-31,74
2371,2016-05-03,2016-10-31,4.97,8.31,0.6720321931589539,2016-05-03_2016-10-31,6
2886,2016-05-03,2016-10-31,23.1,21.6,-0.06493506493506493,2016-05-03_2016-10-31,173
2887,2016-05-03,2016-10-31,12.0,11.55,-0.03749999999999994,2016-05-03_2016-10-31,156
2360,2016-05-03,2016-10-31,72.0,80.1,0.11249999999999992,2016-05-03_2016-10-31,72
2888,2016-05-03,2016-10-31,6.49,6.85,0.05546995377503843,2016-05-03_2016-10-31,97
2357,2016-05-03,2016-10-31,274.0,276.5,0.009124087591240875,2016-05-03_2016-10-31,121
2890,2016-05-03,2016-10-31,9.53,9.11,-0.0440713536201469,2016-05-03_2016-10-31,163
2891,2016-05-03,2016-10-31,16.5,17.0,0.030303030303030304,2016-05-03_2016-10-31,108
2823,2016-05-03,2016-10-31,24.25,29.15,0.20206185567010304,2016-05-03_2016-10-31,39
2356,2016-05-03,2016-10-31,20.7,24.7,0.1932367149758454,2016-05-03_2016-10-31,41
2383,2016-05-03,2016-10-31,57.6,88.1,0.5295138888888887,2016-05-03_2016-10-31,10
2385,2016-05-03,2016-10-31,76.1,80.8,0.06176084099868598,2016-05-03_2016-10-31,93
2454,2016-05-03,2016-10-31,211.0,240.0,0.13744075829383887,2016-05-03_2016-10-31,59
2449,2016-05-03,2016-10-31,27.45,27.75,0.010928961748633906,2016-05-03_2016-10-31,119
2474,2016-05-03,2016-10-31,220.0,247.5,0.125,2016-05-03_2016-10-31,68
2448,2016-05-03,2016-10-31,20.55,21.5,0.04622871046228707,2016-05-03_2016-10-31,101
2492,2016-05-03,2016-10-31,27.2,38.3,0.4080882352941176,2016-05-03_2016-10-31,14
2498,2016-05-03,2016-10-31,81.8,92.4,0.1295843520782397,2016-05-03_2016-10-31,63
2439,2016-05-03,2016-10-31,64.0,122.0,0.90625,2016-05-03_2016-10-31,3
2542,2016-05-03,2016-10-31,46.8,46.75,-0.0010683760683760078,2016-05-03_2016-10-31,130
