stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank,start_date2,SD_close2,end_date2,ED_close2,return2,avg_monthly_return,annualized_return
3532,2015-08-03,2015-10-30,46.14,59.77,201508-201511,0.2954052882531426,70.89337440136066,winner,4.0,2015-11-09,58.03,2016-02-15,50.1,-0.13665345510942614,-0.04779954403782316,-0.44442765282661567
5522,2015-08-03,2015-10-30,13.66,17.54,201508-201511,0.2840409956076133,69.54297648254217,winner,6.0,2015-11-09,17.14,2016-02-15,15.55,-0.09276546091015168,-0.03193052718911504,-0.3225483527701015
6239,2015-08-03,2015-10-30,35.21,44.72,201508-201511,0.2700937233740414,67.885647866949,winner,7.0,2015-11-09,43.97,2016-02-15,43.85,-0.0027291335001136557,-0.0009105399981550466,-0.010871926235208385
6285,2015-08-03,2015-10-30,44.79,54.25,201508-201511,0.2112078588970752,60.88834928287864,winner,12.0,2015-11-09,50.77,2016-02-15,54.94,0.08213511916486102,0.026661234504101072,0.3712794468458285
8454,2015-08-03,2015-10-30,96.2,78.48,201508-201511,-0.1841995841995841,13.902812664096489,loser,147.0,2015-11-09,86.29,2016-02-15,87.76,0.017035577703094204,0.005646582001073375,0.06990343612268979
1101,2015-09-01,2015-11-30,17.22,14.77,201509-201512,-0.1422764227642276,6.908989929338745,loser,137.0,2015-12-08,15.12,2016-03-07,15.27,0.009920634920634944,0.003296002737311454,0.04027696886797316
1102,2015-09-01,2015-11-30,20.25,17.18,201509-201512,-0.1516049382716049,5.947694795981515,loser,139.0,2015-12-08,17.43,2016-03-07,18.02,0.03384968445209408,0.011158258329012627,0.14242999752145846
1477,2015-09-01,2015-11-30,153.21,124.02,201509-201512,-0.1905228118269043,1.937242927221142,loser,145.0,2015-12-08,119.85,2016-03-07,109.0,-0.0905298289528577,-0.03113599844828041,-0.3158460506976163
1536,2015-09-01,2015-11-30,75.5,98.07,201509-201512,0.2989403973509933,52.37598643019583,winner,9.0,2015-12-08,101.57,2016-03-07,93.4,-0.08043713694988666,-0.027565239675345188,-0.2849676430713748
1707,2015-09-01,2015-11-30,113.7,143.76,201509-201512,0.2643799472295513,48.81456312740947,winner,13.0,2015-12-08,135.81,2016-03-07,136.16,0.002577129813710289,0.0008583063706424365,0.010348437352454942
1710,2015-09-01,2015-11-30,19.75,16.15,201509-201512,-0.1822784810126583,2.7868138030217127,loser,144.0,2015-12-08,16.35,2016-03-07,19.04,0.16452599388379188,0.05208233592362688,0.8390635982392893
1789,2015-09-01,2015-11-30,29.45,46.19,201509-201512,0.5684210526315789,80.1457255971918,winner,2.0,2015-12-08,50.21,2016-03-07,43.81,-0.1274646484763991,-0.044433291768939065,-0.4203949947542678
2231,2015-09-01,2015-11-30,140.59,188.05,201509-201512,0.3375773525855324,56.357489918648085,winner,4.0,2015-12-08,196.82,2016-03-07,177.33,-0.09902448938116036,-0.03416190981549805,-0.34105078281471757
2354,2015-09-01,2015-11-30,65.62,52.04,201509-201512,-0.2069491008838769,0.244528613019783,loser,147.0,2015-12-08,51.26,2016-03-07,50.19,-0.020873975809598135,-0.007006974959164025,-0.08091775726164452
2356,2015-09-01,2015-11-30,9.15,11.75,201509-201512,0.2841530054644808,50.85215899545459,winner,10.0,2015-12-08,11.81,2016-03-07,14.31,0.21168501270110077,0.06609665011871124,1.1555541861386387
2377,2015-09-01,2015-11-30,16.32,27.05,201509-201512,0.6574754901960784,89.32270529636445,winner,1.0,2015-12-08,27.43,2016-03-07,28.51,0.03937294932555603,0.012955740354820167,0.16703972371743014
2379,2015-09-01,2015-11-30,36.39,46.11,201509-201512,0.2671063478977741,49.09551626425871,winner,12.0,2015-12-08,52.27,2016-03-07,55.89,0.06925578725846561,0.022571936684302907,0.30715304243313124
2382,2015-09-01,2015-11-30,35.61,30.37,201509-201512,-0.1471496770570064,6.406805457269665,loser,138.0,2015-12-08,32.81,2016-03-07,33.88,0.03261200853398355,0.010754593597840367,0.13696916097028056
2409,2015-09-01,2015-11-30,7.31,6.36,201509-201512,-0.1299589603283172,8.178293355547037,loser,134.0,2015-12-08,6.34,2016-03-07,6.5,0.025236593059936932,0.008342408376984745,0.10483238293249597
2448,2015-09-01,2015-11-30,26.11,21.56,201509-201512,-0.1742627345844504,3.612829263420326,loser,142.0,2015-12-08,22.0,2016-03-07,26.88,0.22181818181818178,0.06906028124407326,1.2285702785984571
2606,2015-09-01,2015-11-30,19.95,16.38,201509-201512,-0.1789473684210526,3.130081959722869,loser,143.0,2015-12-08,16.41,2016-03-07,18.79,0.14503351614868976,0.04617916424878721,0.7189878069919409
2615,2015-09-01,2015-11-30,10.92,8.73,201509-201512,-0.2005494505494505,0.9040068244036754,loser,146.0,2015-12-08,8.09,2016-03-07,10.4,0.2855377008652658,0.08733058908317215,1.7311104925310006
2618,2015-09-01,2015-11-30,13.21,11.44,201509-201512,-0.133989401968206,7.762959969367703,loser,135.0,2015-12-08,11.75,2016-03-07,12.55,0.06808510638297878,0.022198610807803165,0.30143786071261536
2723,2015-09-01,2015-11-30,99.64,130.65,201509-201512,0.3112203934162987,53.64142898060897,winner,7.0,2015-12-08,135.47,2016-03-07,123.73,-0.08666125341403998,-0.029764202793102212,-0.3041309378680921
2923,2015-09-01,2015-11-30,12.84,17.12,201509-201512,0.3333333333333334,55.920147551602994,winner,5.0,2015-12-08,17.05,2016-03-07,17.42,0.02170087976539595,0.007181923087979936,0.08967018815396388
3008,2015-09-01,2015-11-30,2312.97,1952.05,201509-201512,-0.1560417990721885,5.4904802808090345,loser,140.0,2015-12-08,1823.98,2016-03-07,2091.76,0.14681082029408227,0.04672017238948856,0.7296854319847741
5264,2015-09-01,2015-11-30,100.63,131.18,201509-201512,0.3035873993838817,52.85485581036505,winner,8.0,2015-12-08,129.96,2016-03-07,142.18,0.09402893197907047,0.03040890289936704,0.43256794393307607
6239,2015-09-01,2015-11-30,34.84,43.79,201509-201512,0.2568886337543052,48.04259001116043,winner,14.0,2015-12-08,44.72,2016-03-07,43.54,-0.026386404293381033,-0.008873982732472419,-0.10144116375752088
6285,2015-09-01,2015-11-30,38.5,56.96,201509-201512,0.4794805194805195,70.98048364538326,winner,3.0,2015-12-08,56.27,2016-03-07,52.54,-0.06628754220721528,-0.022602888782733088,-0.23993171172978678
6415,2015-09-01,2015-11-30,271.97,361.06,201509-201512,0.3275728940691987,55.326539466132864,winner,6.0,2015-12-08,353.56,2016-03-07,396.23,0.12068672926801678,0.03871102924657599,0.5773821315876586
9904,2015-09-01,2015-11-30,35.2,30.41,201509-201512,-0.1360795454545455,7.547572562888343,loser,136.0,2015-12-08,30.02,2016-03-07,29.32,-0.02331778814123915,-0.007833804287109447,-0.0900592547920831
9933,2015-09-01,2015-11-30,26.93,22.68,201509-201512,-0.1578165614556257,5.30759261334314,loser,141.0,2015-12-08,22.83,2016-03-07,25.73,0.1270258431887868,0.04066582215787706,0.6133756531501213
9945,2015-09-01,2015-11-30,14.38,18.33,201509-201512,0.2746870653685672,49.87670238184264,winner,11.0,2015-12-08,18.63,2016-03-07,19.39,0.04079441760601189,0.013417309851512016,0.17343710473214546
1101,2015-10-01,2015-12-31,17.1,13.69,201510-201601,-0.1994152046783626,8.513907446963128,loser,141.0,2016-01-08,13.54,2016-04-07,14.97,0.10561299852289524,0.03403295158507791,0.49421311499472753
1102,2015-10-01,2015-12-31,20.16,17.02,201510-201601,-0.1557539682539682,13.213062499996234,loser,135.0,2016-01-08,16.15,2016-04-07,17.12,0.060061919504644116,0.019632675469895,0.2627719743314425
1704,2015-10-01,2015-12-31,19.51,28.14,201510-201601,0.4423372629420809,77.58419949508624,winner,1.0,2016-01-08,26.23,2016-04-07,29.49,0.12428516965306893,0.039821582328713134,0.5977393370440987
1789,2015-10-01,2015-12-31,32.49,44.14,201510-201601,0.358571868267159,68.56872925439363,winner,3.0,2016-01-08,41.68,2016-04-07,39.05,-0.0630998080614204,-0.021491860386108397,-0.22949881374938375
2325,2015-10-01,2015-12-31,36.52,46.76,201510-201601,0.2803943044906898,60.15466396583582,winner,6.0,2016-01-08,45.96,2016-04-07,45.24,-0.015665796344647494,-0.005249440521717497,-0.06120600072026716
2354,2015-10-01,2015-12-31,67.11,49.48,201510-201601,-0.262703024884518,1.702389852123714,loser,147.0,2016-01-08,45.36,2016-04-07,50.4,0.11111111111111109,0.03574416865128627,0.5241579027587255
2356,2015-10-01,2015-12-31,10.08,13.32,201510-201601,0.3214285714285714,64.57108453978273,winner,4.0,2016-01-08,12.92,2016-04-07,13.17,0.01934984520123839,0.006408788093793527,0.07967499965453162
2379,2015-10-01,2015-12-31,39.54,53.84,201510-201601,0.3616590794132525,68.90099844887845,winner,2.0,2016-01-08,53.09,2016-04-07,59.11,0.11339235260877746,0.03645251887041101,0.536713604286511
2383,2015-10-01,2015-12-31,52.68,41.22,201510-201601,-0.2175398633257403,6.56319353589902,loser,142.0,2016-01-08,40.28,2016-04-07,43.01,0.06777557100297907,0.022099855504575716,0.29992986859949955
2408,2015-10-01,2015-12-31,24.23,30.71,201510-201601,0.2674370614940157,58.76010671350891,winner,7.0,2016-01-08,28.83,2016-04-07,26.11,-0.094346167186958,-0.032493087737564874,-0.32725741795757435
2474,2015-10-01,2015-12-31,219.28,171.21,201510-201601,-0.2192174388909157,6.38264006697494,loser,144.0,2016-01-08,136.78,2016-04-07,157.87,0.15418920894867674,0.04896018268474478,0.7746308961891855
2498,2015-10-01,2015-12-31,63.09,77.13,201510-201601,0.2225392296718971,53.92785983835493,winner,10.0,2016-01-08,76.94,2016-04-07,78.42,0.01923576813101123,0.006371243754594635,0.07919176816223139
2542,2015-10-01,2015-12-31,17.51,14.29,201510-201601,-0.1838949171901771,10.184319083173335,loser,138.0,2016-01-08,13.44,2016-04-07,18.45,0.37276785714285715,0.11138799316627579,2.5513085512904445
2606,2015-10-01,2015-12-31,21.93,16.7,201510-201601,-0.2384860921112631,4.308800740360083,loser,145.0,2016-01-08,15.88,2016-04-07,15.54,-0.021410579345088263,-0.0071884091923128945,-0.08293088933435377
2615,2015-10-01,2015-12-31,11.8,9.49,201510-201601,-0.1957627118644068,8.907016563160255,loser,140.0,2016-01-08,8.68,2016-04-07,9.28,0.0691244239631336,0.022530058983862178,0.30651080025938415
2723,2015-10-01,2015-12-31,118.31,141.49,201510-201601,0.1959259572310033,51.0635366100164,winner,12.0,2016-01-08,132.16,2016-04-07,160.76,0.21640435835351085,0.0674789567387577,1.1893332364582085
2849,2015-10-01,2015-12-31,10.3,12.74,201510-201601,0.236893203883495,55.47274395001629,winner,9.0,2016-01-08,11.15,2016-04-07,9.52,-0.14618834080717497,-0.0513179275261203,-0.4685672385813542
3034,2015-10-01,2015-12-31,56.68,68.34,201510-201601,0.2057163020465773,52.11724814177083,winner,11.0,2016-01-08,64.36,2016-04-07,63.57,-0.012274704785581092,-0.004108424296490054,-0.04820218381534591
3474,2015-10-01,2015-12-31,21.3,27.95,201510-201601,0.3122065727699529,63.57854275341455,winner,5.0,2016-01-08,28.1,2016-04-07,28.95,0.03024911032028462,0.009983043965997807,0.12659804336646374
4958,2015-10-01,2015-12-31,62.31,48.69,201510-201601,-0.2185844968704863,6.450762111542508,loser,143.0,2016-01-08,44.84,2016-04-07,45.03,0.004237288135593169,0.001410439104782446,0.017057184844640583
6176,2015-10-01,2015-12-31,49.22,36.56,201510-201601,-0.2572125152377081,2.293320349367224,loser,146.0,2016-01-08,31.33,2016-04-07,29.77,-0.04979253112033191,-0.01688087068969324,-0.18478200236357756
6269,2015-10-01,2015-12-31,57.21,47.24,201510-201601,-0.1742702324768397,11.22020101205202,loser,136.0,2016-01-08,42.62,2016-04-07,49.7,0.16611919286719865,0.05256190520752102,0.8491484313325355
6285,2015-10-01,2015-12-31,44.26,55.45,201510-201601,0.2528242205151379,57.18736138725203,winner,8.0,2016-01-08,52.67,2016-04-07,54.82,0.04082020125308522,0.013425678259991303,0.17355338749446236
6414,2015-10-01,2015-12-31,217.8,255.99,201510-201601,0.1753443526170798,48.84838744701627,winner,14.0,2016-01-08,234.65,2016-04-07,283.86,0.20971659919028343,0.06551903673440163,1.1415812681464934
9904,2015-10-01,2015-12-31,35.69,30.16,201510-201601,-0.1549453628467357,13.30009077717034,loser,134.0,2016-01-08,29.92,2016-04-07,27.99,-0.06450534759358299,-0.02198142523585811,-0.23411204923478057
9910,2015-10-01,2015-12-31,108.01,87.88,201510-201601,-0.1863716322562726,9.917756130062296,loser,139.0,2016-01-08,94.15,2016-04-07,85.26,-0.09442379182156134,-0.03252073057180804,-0.32748803447647257
9938,2015-10-01,2015-12-31,67.49,55.21,201510-201601,-0.1819528819084308,10.393335722525483,loser,137.0,2016-01-08,54.45,2016-04-07,72.04,0.323048668503214,0.09780517413674406,2.0641024368602667
9945,2015-10-01,2015-12-31,15.26,18.12,201510-201601,0.1874180865006554,50.147854714422415,winner,13.0,2016-01-08,16.91,2016-04-07,16.55,-0.0212891780011827,-0.007147355653069676,-0.08247572748825549
1101,2015-11-02,2016-01-30,18.22,13.69,201511-201602,-0.2486278814489571,17.95634951927678,loser,143.0,2016-02-15,13.56,2016-05-09,15.04,0.10914454277286126,0.03513274928331467,0.5133960178858554
1102,2015-11-02,2016-01-30,21.22,16.31,201511-201602,-0.2313854853911404,20.47886126854472,loser,141.0,2016-02-15,16.03,2016-05-09,16.65,0.038677479725514496,0.012729758875413832,0.1639192792951023
1319,2015-11-02,2016-01-30,25.39,31.25,201511-201602,0.2307995273729814,88.09516709539726,winner,4.0,2016-02-15,32.05,2016-05-09,32.4,0.010920436817472744,0.0036269747557267085,0.04440250644142085
1402,2015-11-02,2016-01-30,20.39,16.43,201511-201602,-0.194212849435998,25.917108402741444,loser,135.0,2016-02-15,16.26,2016-05-09,15.65,-0.037515375153751605,-0.012664846241507877,-0.14182629665530333
1536,2015-11-02,2016-01-30,83.28,105.46,201511-201602,0.2663304514889528,93.29323662380564,winner,2.0,2016-02-15,103.51,2016-05-09,110.13,0.06395517341319669,0.02087940736246785,0.28142538337841905
1789,2015-11-02,2016-01-30,34.91,42.0,201511-201602,0.2030936694356919,84.04188169724182,winner,7.0,2016-02-15,40.24,2016-05-09,34.7,-0.13767395626242543,-0.04817486832619311,-0.44704981083240636
2049,2015-11-02,2016-01-30,133.13,93.89,201511-201602,-0.2947494929767896,11.208893621383382,loser,145.0,2016-02-15,89.85,2016-05-09,101.22,0.12654424040066783,0.040517567950900446,0.6106196975106533
