combination,remark,count,mean_avg_monthly_return,std_avg_monthly_return
201211-201305,loser,93,0.002581054809930759,0.06334537750427058
201211-201305,winner,93,0.023745083980428856,0.09280687764971522
201212-201306,loser,97,-0.0024389514676462897,0.05474691625020605
201212-201306,winner,98,0.019216967109180715,0.08980198210469856
201301-201307,loser,101,0.013018961015111437,0.059789191567906165
201301-201307,winner,101,0.028638602305676965,0.08261500506648115
201302-201308,loser,103,-0.007099482737571224,0.05503839259538732
201302-201308,winner,102,0.00371024183217462,0.06952703757007814
201303-201309,loser,105,-0.007251053761190786,0.07388684979962014
201303-201309,winner,106,0.03140655659276334,0.06997058893709025
201304-201310,loser,107,0.01594913511885596,0.07159589417637528
201304-201310,winner,107,0.02046812027113112,0.07684046923551678
201305-201311,loser,110,0.0345555529838051,0.06617240510084442
201305-201311,winner,109,0.022614333312420944,0.07037808955859728
201306-201312,loser,109,0.05579784025007067,0.07150955427928711
201306-201312,winner,110,0.047936376013070575,0.06929794145519184
201307-201401,loser,111,0.032640199052870376,0.059132684928692766
201307-201401,winner,109,0.050071784308600556,0.08002480370201173
201308-201402,loser,112,0.014573653774861469,0.053831345545002705
201308-201402,winner,112,0.0271306549238638,0.0905822938065632
201309-201403,loser,114,0.004632464842939813,0.05667647510009649
201309-201403,winner,114,0.02055079220043446,0.08195093749226683
201310-201404,loser,115,0.00928858269201136,0.062178441806905745
201310-201404,winner,115,0.007837393038568216,0.07330016282083783
201311-201405,loser,114,-0.013218257128483284,0.057048340466778626
201311-201405,winner,114,0.0032489789530871917,0.08507985391274729
201312-201406,loser,119,-0.017987170439402445,0.05154294823221102
201312-201406,winner,119,-0.022332708378773724,0.07897635534240766
201401-201407,loser,122,-0.02209981881018712,0.04615173653401342
201401-201407,winner,121,-0.03813161310454154,0.07622841228285532
201402-201408,loser,124,-0.03638448433819872,0.0549201178576821
201402-201408,winner,122,-0.04103097200315483,0.06766272438459389
201403-201409,loser,125,-0.02602503401405577,0.050871460619474014
201403-201409,winner,125,-0.01778409348698516,0.05761373714738532
201404-201410,loser,125,0.0027578381101468017,0.048964889500254995
201404-201410,winner,124,-0.005714928598155136,0.05470801368851122
201405-201411,loser,125,0.032174025544246546,0.06298707460120549
201405-201411,winner,126,0.02000287747898912,0.04891231756529867
201406-201412,loser,126,0.02274391139867424,0.07700842404966551
201406-201412,winner,128,0.016682204654401508,0.05438627596730584
201407-201501,loser,129,0.005569651854689769,0.06994787408966628
201407-201501,winner,130,0.022923972601350102,0.06867944159351448
201408-201502,loser,128,-0.009748837929788748,0.061921190452082726
201408-201502,winner,128,0.018684565961244706,0.08953397429607161
201409-201503,loser,128,-0.05432054550274487,0.07181579574115812
201409-201503,winner,128,-0.009768220013667055,0.10319406858760587
201410-201504,loser,124,-0.05141208543076648,0.06158368645711755
201410-201504,winner,124,-0.01515067162437951,0.08539459624155417
201411-201505,loser,125,-0.09623032846583883,0.06184895347884266
201411-201505,winner,126,-0.049115642999228555,0.08647738130618385
201412-201506,loser,129,-0.06802536609777471,0.05876461057508255
