銀行,西元年月,民國年月,活期存款-固定,活期存款-機動,活儲存款-固定,活儲存款-機動,定存利率-一個月-固定,定存利率-一個月-固定,定存利率-三個月-固定,定存利率-三個月-固定,定存利率-六個月-固定,定存利率-六個月-固定,定存利率-九個月-固定,定存利率-九個月-固定,定存利率-一年期-固定,定存利率-一年期-固定,定存利率-二年期-固定,定存利率-二年期-固定,定存利率-三年期-固定,定存利率-三年期-固定,定存利率-一年期-固定,定存利率-一年期-固定,定存利率-二年期-固定,定存利率-二年期-固定,定存利率-三年期-固定,定存利率-三年期-固定,指數房貸-固定,指數房貸-機動,房貸月指-固定,房貸月指-機動,基準利率-固定,基準利率-機動
土地銀行,2009-10,09810,,0.100,,0.230,0.455,0.580,0.555,0.620,0.695,0.775,0.825,0.900,0.885,1.005,0.945,1.030,0.970,1.055,0.905,1.030,0.970,1.055,1.010,1.105,,1.110,,1.110,,2.710
土地銀行,2009-11,09811,,0.100,,0.230,0.455,0.580,0.555,0.620,0.695,0.775,0.825,0.900,0.885,1.005,0.945,1.030,0.970,1.055,0.905,1.030,0.970,1.055,1.010,1.105,,1.030,,1.030,,2.630
土地銀行,2009-12,09812,,0.100,,0.230,0.455,0.580,0.555,0.620,0.695,0.775,0.825,0.900,0.885,1.005,0.945,1.030,0.970,1.055,0.905,1.030,0.970,1.055,1.010,1.105,,1.030,,1.030,,2.630
土地銀行,2010-1,09901,,0.100,,0.230,0.455,0.580,0.555,0.620,0.695,0.775,0.825,0.900,0.885,1.005,0.945,1.030,0.970,1.055,0.905,1.030,0.970,1.055,1.010,1.105,,1.030,,1.030,,2.630
土地銀行,2010-2,09902,,0.100,,0.230,0.455,0.580,0.555,0.620,0.695,0.775,0.825,0.900,0.885,1.005,0.945,1.030,0.970,1.055,0.905,1.030,0.970,1.055,1.010,1.105,,1.030,,1.030,,2.630
土地銀行,2010-3,09903,,0.100,,0.230,0.455,0.580,0.555,0.620,0.695,0.775,0.825,0.900,0.885,1.005,0.945,1.030,0.970,1.055,0.905,1.030,0.970,1.055,1.010,1.105,,1.030,,1.030,,2.630
土地銀行,2010-4,09904,,0.100,,0.230,0.455,0.580,0.555,0.620,0.695,0.775,0.825,0.900,0.885,1.005,0.945,1.030,0.970,1.055,0.905,1.030,0.970,1.055,1.010,1.105,,1.030,,1.030,,2.630
土地銀行,2010-5,09905,,0.100,,0.230,0.455,0.580,0.555,0.620,0.695,0.775,0.825,0.900,0.885,1.005,0.945,1.030,0.970,1.055,0.905,1.030,0.970,1.055,1.010,1.105,,1.030,,1.030,,2.630
土地銀行,2010-6,09906,,0.110,,0.250,0.540,0.640,0.640,0.680,0.790,0.835,0.920,0.960,1.010,1.065,1.070,1.090,1.095,1.115,1.030,1.090,1.095,1.115,1.135,1.165,,1.030,,1.030,,2.630
土地銀行,2010-7,09907,,0.110,,0.250,0.540,0.640,0.640,0.680,0.790,0.835,0.920,0.960,1.010,1.065,1.070,1.090,1.095,1.115,1.030,1.090,1.095,1.115,1.135,1.165,,1.030,,1.090,,2.630
土地銀行,2010-8,09908,,0.110,,0.250,0.540,0.640,0.640,0.680,0.790,0.835,0.920,0.960,1.010,1.065,1.070,1.090,1.095,1.115,1.030,1.090,1.095,1.115,1.135,1.165,,1.090,,1.090,,2.690
土地銀行,2010-9,09909,,0.110,,0.250,0.540,0.640,0.640,0.680,0.790,0.835,0.920,0.960,1.010,1.065,1.070,1.090,1.095,1.115,1.030,1.090,1.095,1.115,1.135,1.165,,1.090,,1.090,,2.690
土地銀行,2010-10,09910,,0.120,,0.270,0.660,0.700,0.740,0.740,0.900,0.895,1.030,1.020,1.130,1.125,1.170,1.150,1.200,1.175,1.150,1.150,1.200,1.175,1.240,1.225,,1.090,,1.090,,2.690
土地銀行,2010-11,09911,,0.120,,0.270,0.660,0.700,0.740,0.740,0.900,0.895,1.030,1.020,1.130,1.125,1.170,1.150,1.200,1.175,1.150,1.150,1.200,1.175,1.240,1.225,,1.150,,1.150,,2.750
土地銀行,2010-12,09912,,0.120,,0.270,0.660,0.700,0.740,0.740,0.900,0.895,1.030,1.020,1.130,1.125,1.170,1.150,1.200,1.175,1.150,1.150,1.200,1.175,1.240,1.225,,1.150,,1.150,,2.750
土地銀行,2011-1,10001,,0.130,,0.280,0.750,0.750,0.790,0.790,0.960,0.945,1.090,1.070,1.190,1.175,1.230,1.200,1.260,1.225,1.210,1.200,1.260,1.225,1.300,1.275,,1.150,,1.150,,2.750
土地銀行,2011-2,10002,,0.130,,0.280,0.750,0.750,0.790,0.790,0.960,0.945,1.090,1.070,1.190,1.175,1.230,1.200,1.260,1.225,1.210,1.200,1.260,1.225,1.300,1.275,,1.200,,1.200,,2.800
土地銀行,2011-3,10003,,0.130,,0.280,0.750,0.750,0.790,0.790,0.960,0.945,1.090,1.070,1.190,1.175,1.230,1.200,1.260,1.225,1.210,1.200,1.260,1.225,1.300,1.275,,1.200,,1.200,,2.800
土地銀行,2011-4,10004,,0.160,,0.310,0.750,0.750,0.870,0.870,1.050,1.035,1.180,1.160,1.280,1.265,1.320,1.290,1.350,1.315,1.300,1.290,1.350,1.315,1.390,1.365,,1.200,,1.200,,2.800
土地銀行,2011-5,10005,,0.160,,0.310,0.750,0.750,0.870,0.870,1.050,1.035,1.180,1.160,1.280,1.265,1.320,1.290,1.350,1.315,1.300,1.290,1.350,1.315,1.390,1.365,,1.290,,1.290,,2.890
土地銀行,2011-6,10006,,0.160,,0.310,0.750,0.750,0.870,0.870,1.050,1.035,1.180,1.160,1.280,1.265,1.320,1.290,1.350,1.315,1.300,1.290,1.350,1.315,1.390,1.365,,1.290,,1.290,,2.890
土地銀行,2011-7,10007,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.290,,1.290,,2.890
土地銀行,2011-8,10008,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2011-9,10009,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2011-10,10010,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2011-11,10011,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2011-12,10012,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2012-1,10101,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2012-2,10102,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2012-3,10103,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2012-4,10104,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2012-5,10105,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2012-6,10106,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2012-7,10107,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2012-8,10108,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2012-9,10109,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2012-10,10110,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2012-11,10111,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2012-12,10112,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2013-1,10201,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2013-2,10202,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2013-3,10203,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2013-4,10204,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2013-5,10205,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2013-6,10206,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2013-7,10207,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2013-8,10208,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2013-9,10209,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2013-10,10210,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2013-11,10211,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2013-12,10212,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2014-1,10301,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2014-2,10302,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2014-3,10303,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2014-4,10304,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2014-5,10305,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2014-6,10306,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2014-7,10307,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2014-8,10308,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2014-9,10309,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2014-10,10310,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2014-11,10311,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2014-12,10312,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2015-1,10401,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2015-2,10402,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2015-3,10403,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2015-4,10404,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2015-5,10405,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2015-6,10406,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2015-7,10407,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2015-8,10408,,0.170,,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.430,1.395,1.380,1.370,1.430,1.395,1.470,1.445,,1.370,,1.370,,2.970
土地銀行,2015-9,10409,,0.150,,0.310,0.810,0.810,0.870,0.870,1.055,1.045,1.170,1.160,1.285,1.275,1.330,1.300,1.355,1.325,1.310,1.300,1.355,1.325,1.400,1.375,,1.370,,1.370,,2.970
土地銀行,2015-10,10410,,0.150,,0.310,0.810,0.810,0.870,0.870,1.055,1.045,1.170,1.160,1.285,1.275,1.330,1.300,1.355,1.325,1.310,1.300,1.355,1.325,1.400,1.375,,1.370,,1.300,,2.970
土地銀行,2015-11,10411,,0.150,,0.310,0.810,0.810,0.870,0.870,1.055,1.045,1.170,1.160,1.285,1.275,1.330,1.300,1.355,1.325,1.310,1.300,1.355,1.325,1.400,1.375,,1.300,,1.300,,2.900
土地銀行,2015-12,10412,,0.130,,0.290,0.740,0.740,0.800,0.800,0.955,0.975,1.070,1.090,1.205,1.205,1.230,1.230,1.255,1.255,1.230,1.230,1.255,1.255,1.300,1.305,,1.300,,1.300,,2.900
土地銀行,2016-1,10501,,0.130,,0.290,0.740,0.740,0.800,0.800,0.955,0.975,1.070,1.090,1.205,1.205,1.230,1.230,1.255,1.255,1.230,1.230,1.255,1.255,1.300,1.305,,1.300,,1.230,,2.900
土地銀行,2016-2,10502,,0.130,,0.290,0.740,0.740,0.800,0.800,0.955,0.975,1.070,1.090,1.205,1.205,1.230,1.230,1.255,1.255,1.230,1.230,1.255,1.255,1.300,1.305,,1.230,,1.230,,2.830
土地銀行,2016-3,10503,,0.110,,0.260,0.670,0.670,0.730,0.730,0.865,0.905,0.980,1.020,1.125,1.135,1.130,1.160,1.155,1.185,1.150,1.160,1.155,1.185,1.200,1.235,,1.230,,1.230,,2.830
土地銀行,2016-4,10504,,0.110,,0.260,0.670,0.670,0.730,0.730,0.865,0.905,0.980,1.020,1.125,1.135,1.130,1.160,1.155,1.185,1.150,1.160,1.155,1.185,1.200,1.235,,1.230,,1.160,,2.830
土地銀行,2016-5,10505,,0.110,,0.260,0.670,0.670,0.730,0.730,0.865,0.905,0.980,1.020,1.125,1.135,1.130,1.160,1.155,1.185,1.150,1.160,1.155,1.185,1.200,1.235,,1.160,,1.160,,2.760
土地銀行,2016-6,10506,,0.110,,0.260,0.670,0.670,0.730,0.730,0.865,0.905,0.980,1.020,1.125,1.135,1.130,1.160,1.155,1.185,1.150,1.160,1.155,1.185,1.200,1.235,,1.160,,1.160,,2.760
土地銀行,2016-7,10507,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.160,,1.160,,2.760
土地銀行,2016-8,10508,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2016-9,10509,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2016-10,10510,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2016-11,10511,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2016-12,10512,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2017-1,10601,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2017-2,10602,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2017-3,10603,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2017-4,10604,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2017-5,10605,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2017-6,10606,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2017-7,10607,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2017-8,10608,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2017-9,10609,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2017-10,10610,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2017-11,10611,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2017-12,10612,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2018-1,10701,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2018-2,10702,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2018-3,10703,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2018-4,10704,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2018-5,10705,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2018-6,10706,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2018-7,10707,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2018-8,10708,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2018-9,10709,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2018-10,10710,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2018-11,10711,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2018-12,10712,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2019-1,10801,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2019-2,10802,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
土地銀行,2019-3,10803,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.110,1.165,,1.090,,1.090,,2.690
