西元年月,avg_rate_yr,risk_free_monthly
2014-12,1.355,0.0011222141853224343
2014-2,1.355,0.0011222141853224343
2014-3,1.355,0.0011222141853224343
2014-4,1.355,0.0011222141853224343
2014-5,1.355,0.0011222141853224343
2014-6,1.355,0.0011222141853224343
2014-7,1.355,0.0011222141853224343
2014-8,1.355,0.0011222141853224343
2014-9,1.355,0.0011222141853224343
2015-1,1.355,0.0011222141853224343
2015-10,1.281,0.0010612832610084055
2015-11,1.281,0.0010612832610084055
2015-12,1.205,0.0009986630621567905
2015-2,1.355,0.0011222141853224343
2015-3,1.355,0.0011222141853224343
2015-4,1.355,0.0011222141853224343
2015-5,1.355,0.0011222141853224343
2015-6,1.355,0.0011222141853224343
2015-7,1.355,0.0011222141853224343
2015-8,1.355,0.0011222141853224343
2015-9,1.281,0.0010612832610084055
2016-1,1.205,0.0009986630621567905
2016-10,1.039,0.0008617373270003448
2016-11,1.039,0.0008617373270003448
2016-12,1.039,0.0008617373270003448
2016-2,1.205,0.0009986630621567905
2016-3,1.125,0.0009327004773649339
2016-4,1.125,0.0009327004773649339
2016-5,1.125,0.0009327004773649339
2016-6,1.125,0.0009327004773649339
2016-7,1.039,0.0008617373270003448
2016-8,1.039,0.0008617373270003448
2016-9,1.039,0.0008617373270003448
2017-1,1.039,0.0008617373270003448
2017-10,1.039,0.0008617373270003448
2017-11,1.039,0.0008617373270003448
2017-12,1.039,0.0008617373270003448
2017-2,1.039,0.0008617373270003448
2017-3,1.039,0.0008617373270003448
2017-4,1.039,0.0008617373270003448
2017-5,1.039,0.0008617373270003448
2017-6,1.039,0.0008617373270003448
2017-7,1.039,0.0008617373270003448
2017-8,1.039,0.0008617373270003448
2017-9,1.039,0.0008617373270003448
2018-1,1.039,0.0008617373270003448
2018-10,1.039,0.0008617373270003448
2018-11,1.039,0.0008617373270003448
2018-12,1.039,0.0008617373270003448
2018-2,1.039,0.0008617373270003448
2018-3,1.039,0.0008617373270003448
2018-4,1.039,0.0008617373270003448
2018-5,1.039,0.0008617373270003448
2018-6,1.039,0.0008617373270003448
2018-7,1.039,0.0008617373270003448
2018-8,1.039,0.0008617373270003448
2018-9,1.039,0.0008617373270003448
2019-1,1.039,0.0008617373270003448
2019-10,1.039,0.0008617373270003448
2019-11,1.039,0.0008617373270003448
2019-12,1.039,0.0008617373270003448
2019-2,1.039,0.0008617373270003448
2019-3,1.039,0.0008617373270003448
2019-4,1.039,0.0008617373270003448
2019-5,1.039,0.0008617373270003448
2019-6,1.039,0.0008617373270003448
2019-7,1.039,0.0008617373270003448
2019-8,1.039,0.0008617373270003448
2019-9,1.039,0.0008617373270003448
2020-1,1.039,0.0008617373270003448
2020-10,0.769,0.0006385856979693738
2020-11,0.769,0.0006385856979693738
2020-12,0.769,0.0006385856979693738
2020-2,1.039,0.0008617373270003448
2020-3,0.769,0.0006385856979693738
2020-4,0.769,0.0006385856979693738
2020-5,0.769,0.0006385856979693738
2020-6,0.769,0.0006385856979693738
2020-7,0.769,0.0006385856979693738
2020-8,0.769,0.0006385856979693738
2020-9,0.769,0.0006385856979693738
2021-1,0.769,0.0006385856979693738
2021-10,0.769,0.0006385856979693738
2021-11,0.769,0.0006385856979693738
2021-12,0.769,0.0006385856979693738
2021-2,0.769,0.0006385856979693738
2021-3,0.769,0.0006385856979693738
2021-4,0.769,0.0006385856979693738
2021-5,0.769,0.0006385856979693738
2021-6,0.769,0.0006385856979693738
2021-7,0.769,0.0006385856979693738
2021-8,0.769,0.0006385856979693738
2021-9,0.769,0.0006385856979693738
2022-1,0.769,0.0006385856979693738
2022-10,1.325,0.0010975173757448164
2022-11,1.325,0.0010975173757448164
2022-12,1.45,0.0012003765662376154
2022-2,0.769,0.0006385856979693738
2022-3,1.039,0.0008617373270003448
2022-4,1.039,0.0008617373270003448
2022-5,1.039,0.0008617373270003448
2022-6,1.192,0.0009879473952696394
2022-7,1.192,0.0009879473952696394
2022-8,1.192,0.0009879473952696394
2022-9,1.325,0.0010975173757448164
2023-1,1.45,0.0012003765662376154
2023-10,1.575,0.0013031196473178852
2023-11,1.575,0.0013031196473178852
2023-12,1.575,0.0013031196473178852
2023-2,1.45,0.0012003765662376154
2023-3,1.575,0.0013031196473178852
2023-4,1.575,0.0013031196473178852
2023-5,1.575,0.0013031196473178852
2023-6,1.575,0.0013031196473178852
2023-7,1.575,0.0013031196473178852
2023-8,1.575,0.0013031196473178852
2023-9,1.575,0.0013031196473178852
2024-1,1.575,0.0013031196473178852
2024-10,1.7,0.0014057468926966799
2024-11,1.7,0.0014057468926966799
2024-12,1.7,0.0014057468926966799
2024-2,1.575,0.0013031196473178852
2024-3,1.7,0.0014057468926966799
2024-4,1.7,0.0014057468926966799
2024-5,1.7,0.0014057468926966799
2024-6,1.7,0.0014057468926966799
2024-7,1.7,0.0014057468926966799
2024-8,1.7,0.0014057468926966799
2024-9,1.7,0.0014057468926966799
2025-1,1.7,0.0014057468926966799
2025-2,1.7,0.0014057468926966799
2025-3,1.7,0.0014057468926966799
2025-4,1.7,0.0014057468926966799
2025-5,1.7,0.0014057468926966799
2025-6,1.7,0.0014057468926966799
2025-7,1.7,0.0014057468926966799
