combination,remark,count,mean_avg_monthly_return
201412-201512,winner,12,-0.017818354554144517
201501-201601,loser,14,0.013279719595050801
201501-201601,winner,12,-0.004044564213509248
201502-201602,loser,14,0.01797064979328706
201502-201602,winner,12,0.012187139880143463
201503-201603,loser,14,0.0025967018882405634
201503-201603,winner,12,0.01158626118587038
201504-201604,loser,14,0.005300774936265914
201504-201604,winner,12,0.01432643604729436
201505-201605,loser,14,0.011705150530154838
201505-201605,winner,13,0.015376462767396792
201506-201606,loser,13,0.010066025538876743
201506-201606,winner,14,0.012623074682145035
201507-201607,loser,14,0.012530940483058186
201507-201607,winner,14,-0.003539817529092778
201508-201608,loser,14,0.010668838863643504
201508-201608,winner,14,-0.006230105107029553
201509-201609,loser,14,0.03029970123574534
201509-201609,winner,14,0.005875593540053047
201510-201610,loser,14,0.02606436297136559
201510-201610,winner,14,0.003173409986363007
201511-201611,loser,14,0.0268598700834276
201511-201611,winner,14,0.003679404847820581
201512-201612,loser,14,0.04030698306598644
201512-201612,winner,14,0.006362602642131581
201601-201701,loser,14,0.03418793596779739
201601-201701,winner,14,0.012594520467086765
201602-201702,loser,14,0.02609608177404188
201602-201702,winner,14,0.02068710806592446
201603-201703,loser,14,0.013393572424539266
201603-201703,winner,14,0.02519864919742381
201604-201704,loser,14,0.013508998720419487
201604-201704,winner,14,0.03045922878515626
201605-201705,loser,14,0.014062916452737082
201605-201705,winner,14,0.029745709086113268
201606-201706,loser,14,-0.0034289044376137256
201606-201706,winner,14,0.0452820878064582
201607-201707,loser,14,-0.002233907335802849
201607-201707,winner,14,0.023763451113211265
201608-201708,loser,14,0.008241386097610366
201608-201708,winner,14,0.017297553400640004
201609-201709,loser,14,-0.0003082563288584948
201609-201709,winner,14,0.00488846764712816
201610-201710,loser,14,0.009226096170932976
201610-201710,winner,14,0.005314716736536955
201611-201711,loser,14,0.001379115014415011
201611-201711,winner,14,-0.0062750278230934865
201612-201712,loser,14,0.001125149743689356
201612-201712,winner,14,-0.008463941451647925
201701-201801,loser,14,-0.00786276882580002
201701-201801,winner,14,-0.009865938848418132
201702-201802,loser,14,-0.008049968100766176
201702-201802,winner,14,-0.01749408778290364
201703-201803,loser,14,-0.0006077686117545682
201703-201803,winner,14,-0.02554905569361344
201704-201804,loser,14,-0.01221057421166631
201704-201804,winner,14,-0.024323565799092752
201705-201805,loser,14,-0.018726288036827576
201705-201805,winner,14,-0.06269617061641082
201706-201806,loser,14,-0.009874010600763428
201706-201806,winner,14,-0.060339433120379274
201707-201807,loser,14,-0.016344918766849896
201707-201807,winner,14,-0.05837519604672061
201708-201808,loser,14,-0.03251813010482691
201708-201808,winner,14,-0.0534905043198407
201709-201809,loser,14,-0.015031376217102987
201709-201809,winner,14,-0.024217225266608158
201710-201810,loser,14,0.00651313681363599
201710-201810,winner,14,-0.010041781410372446
201711-201811,loser,14,0.03226866187136165
201711-201811,winner,13,0.021131955554258047
201712-201812,loser,14,-0.0010702954316067176
201712-201812,winner,13,0.005197219233958866
201801-201901,loser,14,0.022702102614334505
201801-201901,winner,14,0.029336135099954735
201802-201902,loser,14,0.01825680358144005
201802-201902,winner,13,0.0359867635152225
201803-201903,loser,14,-0.0034033490096258318
201803-201903,winner,14,0.028782990778770414
201804-201904,loser,14,-0.0024376221068491133
201804-201904,winner,14,0.012153697488778013
201805-201905,loser,14,-0.002321911707112672
201805-201905,winner,14,0.010534285922608546
201806-201906,loser,14,0.03247389709579732
201806-201906,winner,14,0.013070346915218054
201807-201907,loser,14,0.024332563637487155
201807-201907,winner,14,0.011004105061080762
201808-201908,loser,14,0.012014608215502844
201808-201908,winner,14,-0.0024057602752590563
201809-201909,loser,14,0.018857114575093814
201809-201909,winner,14,-0.0015818742778854994
201810-201910,loser,14,-0.03610186856793534
201810-201910,winner,14,-0.021019746778650754
201811-201911,loser,14,-0.02374425927251344
201811-201911,winner,14,-0.003273612606768323
201812-201912,loser,14,-0.015622409285336742
201812-201912,winner,14,0.007247141071393444
201901-202001,loser,14,-0.02005711688843206
201901-202001,winner,14,0.0025794836556474426
201902-202002,loser,14,-0.011568872545593023
201902-202002,winner,14,0.0358982672939779
201903-202003,loser,14,0.0029987294108144874
201903-202003,winner,14,0.053380579730289014
201904-202004,loser,14,0.058978550540898414
201904-202004,winner,14,0.05872945004735524
201905-202005,loser,14,0.03125328341157042
201905-202005,winner,14,0.0238114497525903
201906-202006,loser,14,0.032620828157839954
201906-202006,winner,14,0.026249458400329106
201907-202007,loser,14,0.05107273130752351
201907-202007,winner,14,0.00242861829479741
201908-202008,loser,14,0.03379598731493442
201908-202008,winner,14,0.04351953877990045
201909-202009,loser,14,0.037358759791162134
201909-202009,winner,14,0.05148799556796273
201910-202010,loser,14,0.03983724671966943
201910-202010,winner,14,0.059447930086281416
201911-202011,loser,14,0.04487010735390319
201911-202011,winner,14,0.1220102879604945
201912-202012,loser,14,0.007293017803595013
201912-202012,winner,14,0.07062745883682982
202001-202101,loser,14,0.010803927102768498
202001-202101,winner,14,0.08988419780152787
202002-202102,loser,14,0.0129451323530719
202002-202102,winner,14,0.06887156489469844
202003-202103,loser,14,0.010488432973381359
202003-202103,winner,14,0.06799911089326376
202004-202104,loser,14,0.004433478587579508
202004-202104,winner,14,0.03594237052507313
202005-202105,loser,14,-0.0033602797520075173
202005-202105,winner,14,0.0031960307378438185
202006-202106,loser,14,0.0006327780300922625
202006-202106,winner,14,0.019802765605962003
202007-202107,loser,14,0.007315942752623499
202007-202107,winner,14,0.013928833291666316
202008-202108,loser,14,-0.006281049186610607
202008-202108,winner,14,-0.00595465007119496
202009-202109,loser,14,-0.004479978172649073
202009-202109,winner,14,-0.0012560549758971553
202010-202110,loser,14,0.005941715625898823
202010-202110,winner,14,0.012405520805715371
202011-202111,loser,14,-0.007934223653827717
202011-202111,winner,14,-0.022624220031765268
202012-202112,loser,14,-0.004149871899441763
202012-202112,winner,14,-0.017415834454040515
202101-202201,loser,14,-0.018036885090333292
202101-202201,winner,14,-0.05581165679747506
202102-202202,loser,14,-0.026994748959109385
202102-202202,winner,14,-0.04212403166453394
202103-202203,loser,14,-0.011021933432380069
202103-202203,winner,14,-0.04585505812843664
202104-202204,loser,14,-0.05105445081552024
202104-202204,winner,14,-0.08249697430888203
202105-202205,loser,14,-0.027296651291575404
202105-202205,winner,14,-0.06720051601605534
202106-202206,loser,14,-0.015127472488244103
202106-202206,winner,14,-0.020641538359788738
202107-202207,loser,14,0.007274007654726545
202107-202207,winner,14,0.0018726965521738295
202108-202208,loser,14,0.00866334086156924
202108-202208,winner,14,0.0075990488083902885
202109-202209,loser,14,0.02382853468639003
202109-202209,winner,14,0.005532479684837476
202110-202210,loser,14,0.04971489315284353
202110-202210,winner,14,0.019946402015228182
202111-202211,loser,14,0.05008305636244459
202111-202211,winner,14,0.013734225976724064
202112-202212,loser,14,0.013492293952557926
202112-202212,winner,14,0.010655713899101502
202201-202301,loser,14,0.03299807829608654
202201-202301,winner,14,0.028246509440702647
202202-202302,loser,14,0.0038574176198120963
202202-202302,winner,14,0.016930031441946276
202203-202303,loser,14,0.006632622669158793
202203-202303,winner,14,0.017014664366742666
202204-202304,loser,14,0.005182438744661471
202204-202304,winner,14,0.02720985645269746
