combination,remark,count,mean_return2
201605-201608,winner - loser,-,0.029533914973658495
201606-201609,loser,125,-0.10088231101465225
201606-201609,winner,125,-0.029444343976058353
201606-201609,winner - loser,-,0.0714379670385939
201607-201610,loser,130,-0.04361119111856628
201607-201610,winner,130,-0.03582166906154468
201607-201610,winner - loser,-,0.007789522057021603
201608-201611,loser,132,0.02755222855339349
201608-201611,winner,132,0.034056395891387044
201608-201611,winner - loser,-,0.006504167337993555
201609-201612,loser,133,0.11061259441448522
201609-201612,winner,133,0.122521837217481
201609-201612,winner - loser,-,0.011909242802995781
201610-201701,loser,134,0.10178791660990459
201610-201701,winner,134,0.15757280662593534
201610-201701,winner - loser,-,0.05578489001603075
201611-201702,loser,132,0.03889765382610806
201611-201702,winner,133,0.11530661681233291
201611-201702,winner - loser,-,0.07640896298622485
201612-201703,loser,135,0.01742877357216168
201612-201703,winner,134,0.053171757716614663
201612-201703,winner - loser,-,0.03574298414445298
201701-201704,loser,136,0.004728233598951202
201701-201704,winner,136,0.024978529801777453
201701-201704,winner - loser,-,0.02025029620282625
201702-201705,loser,139,0.02389881192526916
201702-201705,winner,140,0.05375441940439977
201702-201705,winner - loser,-,0.02985560747913061
201703-201706,loser,140,0.05032708852289373
201703-201706,winner,142,0.08893180744416593
201703-201706,winner - loser,-,0.0386047189212722
201704-201707,loser,140,0.06002087555967143
201704-201707,winner,141,0.08515121267325194
201704-201707,winner - loser,-,0.025130337113580516
201705-201708,loser,141,-0.01742236096504449
201705-201708,winner,141,0.09880949970977743
201705-201708,winner - loser,-,0.11623186067482191
201706-201709,loser,142,-0.028614416551919274
201706-201709,winner,142,0.05458558989421918
201706-201709,winner - loser,-,0.08320000644613845
201707-201710,loser,142,-0.037822551339629334
201707-201710,winner,142,-0.0018066726106322018
201707-201710,winner - loser,-,0.036015878728997135
201708-201711,loser,144,-0.010518607706458474
201708-201711,winner,144,0.02711808520986832
201708-201711,winner - loser,-,0.03763669291632679
201709-201712,loser,147,0.005498786670578427
201709-201712,winner,147,0.04304917986607359
201709-201712,winner - loser,-,0.03755039319549516
201710-201801,loser,148,0.02652221028521749
201710-201801,winner,148,0.05025340265897022
201710-201801,winner - loser,-,0.023731192373752732
201711-201802,loser,150,-0.010493027204144736
201711-201802,winner,149,-0.014855290140984015
201711-201802,winner - loser,-,-0.0043622629368392785
201712-201803,loser,149,0.04614904664188289
201712-201803,winner,149,0.04951060820659039
201712-201803,winner - loser,-,0.003361561564707495
201801-201804,loser,153,-0.007539686522735436
201801-201804,winner,153,-0.006802844466003101
201801-201804,winner - loser,-,0.0007368420567323347
201802-201805,loser,151,0.03126559873527415
201802-201805,winner,151,0.023219516513286746
201802-201805,winner - loser,-,-0.008046082221987407
201803-201806,loser,151,-0.02847950142626941
201803-201806,winner,152,-0.06841317961124399
201803-201806,winner - loser,-,-0.03993367818497458
201804-201807,loser,151,-0.06413722740698599
201804-201807,winner,152,-0.15104686973258766
201804-201807,winner - loser,-,-0.08690964232560167
201805-201808,loser,149,-0.20981110679143303
201805-201808,winner,152,-0.2697537745649992
201805-201808,winner - loser,-,-0.05994266777356619
201806-201809,loser,154,-0.11905122537940858
201806-201809,winner,153,-0.10798221166109842
201806-201809,winner - loser,-,0.011069013718310164
201807-201810,loser,152,-0.10055241329964257
201807-201810,winner,152,-0.07029168119841675
201807-201810,winner - loser,-,0.030260732101225818
201808-201811,loser,152,0.14769904060349948
201808-201811,winner,151,0.06880378580381032
201808-201811,winner - loser,-,-0.07889525479968916
201809-201812,loser,152,0.053985071925040644
201809-201812,winner,152,0.04161624792568264
201809-201812,winner - loser,-,-0.012368823999358007
201810-201901,loser,146,0.15366562779607745
201810-201901,winner,147,0.15951479244805514
201810-201901,winner - loser,-,0.005849164651977684
201811-201902,loser,144,0.05261483930172702
201811-201902,winner,145,0.08010374638185039
201811-201902,winner - loser,-,0.027488907080123366
201812-201903,loser,147,-0.056772192098183835
201812-201903,winner,148,0.005811586362614914
201812-201903,winner - loser,-,0.06258377846079875
201901-201904,loser,147,-0.031716579545455745
201901-201904,winner,148,-0.036139293555501176
201901-201904,winner - loser,-,-0.004422714010045431
201902-201905,loser,150,-0.027343965804996106
201902-201905,winner,151,0.02605479046181712
201902-201905,winner - loser,-,0.05339875626681323
201903-201906,loser,152,0.09202657853176767
201903-201906,winner,152,0.08568858800614682
201903-201906,winner - loser,-,-0.006337990525620854
201904-201907,loser,153,0.030474099964466927
201904-201907,winner,153,0.08296754679692292
201904-201907,winner - loser,-,0.05249344683245599
201905-201908,loser,151,0.003976932612779211
201905-201908,winner,151,0.049550759720003446
201905-201908,winner - loser,-,0.045573827107224234
201906-201909,loser,151,-0.011651028992079156
201906-201909,winner,150,0.05656961596076035
201906-201909,winner - loser,-,0.0682206449528395
