Stock_id,Combination,Start_Date,End_Date,Start_Price,End_Price,Return,RT_Percentile_Rank
2324,201605-201610,2016-05-03,2016-10-31,18.65,18.8,0.008042895442359364,0.38190954773869346
4938,201605-201610,2016-05-03,2016-10-31,67.0,85.0,0.26865671641791045,0.8492462311557789
4943,201605-201610,2016-05-03,2016-10-31,43.16,71.44,0.6552363299351252,0.964824120603015
2317,201605-201610,2016-05-03,2016-10-31,75.6,85.3,0.12830687830687834,0.678391959798995
4958,201605-201610,2016-05-03,2016-10-31,66.6,71.9,0.07957957957957976,0.5829145728643216
5264,201605-201610,2016-05-03,2016-10-31,139.5,101.5,-0.2724014336917563,0.020100502512562814
2313,201605-201610,2016-05-03,2016-10-31,17.4,16.65,-0.04310344827586207,0.19095477386934673
5522,201605-201610,2016-05-03,2016-10-31,37.65,36.3,-0.03585657370517932,0.22613065326633167
5871,201605-201610,2016-05-03,2016-10-31,53.4,54.6,0.022471910112359605,0.4472361809045226
2311,201605-201610,2016-05-03,2016-10-31,31.05,37.1,0.19484702093397746,0.8040201005025126
5880,201605-201610,2016-05-03,2016-10-31,14.15,13.85,-0.021201413427561887,0.2864321608040201
6116,201605-201610,2016-05-03,2016-10-31,3.67,7.91,1.1553133514986378,1.0
2308,201605-201610,2016-05-03,2016-10-31,146.0,166.5,0.1404109589041096,0.7185929648241206
6176,201605-201610,2016-05-03,2016-10-31,47.2,53.3,0.1292372881355931,0.6834170854271356
6239,201605-201610,2016-05-03,2016-10-31,65.1,90.1,0.3840245775729647,0.9296482412060302
2303,201605-201610,2016-05-03,2016-10-31,11.65,11.75,0.008583690987124432,0.39195979899497485
6269,201605-201610,2016-05-03,2016-10-31,72.5,89.9,0.24000000000000007,0.8391959798994975
2301,201605-201610,2016-05-03,2016-10-31,37.5,45.3,0.20799999999999993,0.8190954773869347
6285,201605-201610,2016-05-03,2016-10-31,83.1,87.9,0.0577617328519857,0.5276381909547738
4904,201605-201610,2016-05-03,2016-10-31,74.0,74.6,0.00810810810810803,0.3869346733668342
2912,201605-201610,2016-05-03,2016-10-31,224.0,236.0,0.05357142857142857,0.5125628140703518
3706,201605-201610,2016-05-03,2016-10-31,22.5,29.9,0.32888888888888884,0.8994974874371859
3702,201605-201610,2016-05-03,2016-10-31,34.4,37.0,0.07558139534883726,0.5628140703517588
2915,201605-201610,2016-05-03,2016-10-31,44.05,50.9,0.15550510783200913,0.7437185929648241
3008,201605-201610,2016-05-03,2016-10-31,2295.0,3735.0,0.6274509803921569,0.9597989949748744
2353,201605-201610,2016-05-03,2016-10-31,11.2,14.5,0.2946428571428572,0.8743718592964824
3019,201605-201610,2016-05-03,2016-10-31,23.35,29.1,0.24625267665952888,0.8442211055276382
3034,201605-201610,2016-05-03,2016-10-31,110.0,118.5,0.07727272727272727,0.5728643216080402
2352,201605-201610,2016-05-03,2016-10-31,10.05,13.3,0.3233830845771144,0.8894472361809045
3044,201605-201610,2016-05-03,2016-10-31,58.5,74.7,0.276923076923077,0.8592964824120602
3045,201605-201610,2016-05-03,2016-10-31,107.5,110.5,0.027906976744186046,0.457286432160804
2347,201605-201610,2016-05-03,2016-10-31,31.3,33.7,0.07667731629392978,0.5678391959798995
3189,201605-201610,2016-05-03,2016-10-31,62.3,72.9,0.1701444622792939,0.7738693467336684
3231,201605-201610,2016-05-03,2016-10-31,18.7,23.8,0.2727272727272728,0.8542713567839196
2345,201605-201610,2016-05-03,2016-10-31,29.3,50.4,0.720136518771331,0.9798994974874372
3406,201605-201610,2016-05-03,2016-10-31,44.8,50.4,0.12500000000000003,0.6683417085427136
2344,201605-201610,2016-05-03,2016-10-31,8.6,9.92,0.1534883720930233,0.7386934673366834
3443,201605-201610,2016-05-03,2016-10-31,73.5,80.5,0.09523809523809523,0.6180904522613065
3481,201605-201610,2016-05-03,2016-10-31,9.8,10.65,0.08673469387755098,0.5979899497487438
2337,201605-201610,2016-05-03,2016-10-31,3.35,4.37,0.3044776119402985,0.8793969849246231
3532,201605-201610,2016-05-03,2016-10-31,30.95,35.25,0.13893376413570277,0.7135678391959799
3673,201605-201610,2016-05-03,2016-10-31,68.2,50.5,-0.25953079178885635,0.02512562814070352
2330,201605-201610,2016-05-03,2016-10-31,147.5,188.5,0.27796610169491526,0.864321608040201
3682,201605-201610,2016-05-03,2016-10-31,10.15,10.15,0.0,0.3592964824120603
2327,201605-201610,2016-05-03,2016-10-31,52.7,63.6,0.206831119544592,0.8140703517587939
6213,201605-201610,2016-05-03,2016-10-31,30.15,34.2,0.13432835820895536,0.6984924623115578
2451,201605-201610,2016-05-03,2016-10-31,90.6,87.2,-0.037527593818984455,0.21608040201005024
1101,201606-201611,2016-06-01,2016-11-30,29.9,36.85,0.23244147157190645,0.8781725888324873
1710,201606-201611,2016-06-01,2016-11-30,19.85,22.2,0.11838790931989913,0.6802030456852792
2015,201606-201611,2016-06-01,2016-11-30,44.65,45.3,0.01455767077267634,0.48223350253807107
1907,201606-201611,2016-06-01,2016-11-30,9.78,9.61,-0.017382413087934555,0.38071065989847713
2006,201606-201611,2016-06-01,2016-11-30,18.95,21.8,0.1503957783641162,0.751269035532995
2002,201606-201611,2016-06-01,2016-11-30,20.95,25.0,0.1933174224343676,0.8324873096446701
2101,201606-201611,2016-06-01,2016-11-30,26.9,29.3,0.08921933085501867,0.649746192893401
2206,201606-201611,2016-06-01,2016-11-30,21.4,21.05,-0.01635514018691579,0.38578680203045684
1909,201606-201611,2016-06-01,2016-11-30,13.25,16.2,0.22264150943396221,0.8527918781725888
2362,201606-201611,2016-06-01,2016-11-30,27.85,27.8,-0.0017953321364452678,0.4213197969543147
1507,201606-201611,2016-06-01,2016-11-30,47.7,44.65,-0.06394129979035648,0.20812182741116753
1802,201606-201611,2016-06-01,2016-11-30,13.75,13.5,-0.01818181818181818,0.3756345177664975
2393,201606-201611,2016-06-01,2016-11-30,46.95,46.5,-0.009584664536741274,0.4010152284263959
1789,201606-201611,2016-06-01,2016-11-30,46.55,39.5,-0.15145005370569276,0.07614213197969544
2501,201606-201611,2016-06-01,2016-11-30,13.85,18.6,0.3429602888086644,0.9238578680203046
2511,201606-201611,2016-06-01,2016-11-30,11.5,10.8,-0.060869565217391244,0.2182741116751269
1723,201606-201611,2016-06-01,2016-11-30,110.0,111.0,0.00909090909090909,0.4517766497461929
2609,201606-201611,2016-06-01,2016-11-30,7.9,5.75,-0.2721518987341772,0.030456852791878174
2707,201606-201611,2016-06-01,2016-11-30,189.5,170.5,-0.10026385224274406,0.1319796954314721
1722,201606-201611,2016-06-01,2016-11-30,43.25,40.55,-0.06242774566473995,0.2131979695431472
2727,201606-201611,2016-06-01,2016-11-30,119.0,138.0,0.15966386554621848,0.766497461928934
2392,201606-201611,2016-06-01,2016-11-30,41.55,36.0,-0.13357400722021653,0.08629441624365482
2049,201606-201611,2016-06-01,2016-11-30,140.5,132.5,-0.05693950177935943,0.23857868020304568
1440,201606-201611,2016-06-01,2016-11-30,12.85,12.3,-0.04280155642023338,0.27918781725888325
9945,201606-201611,2016-06-01,2016-11-30,37.4,38.1,0.01871657754010703,0.5076142131979695
2227,201606-201611,2016-06-01,2016-11-30,215.0,200.0,-0.06976744186046512,0.20304568527918782
6452,201606-201611,2016-06-01,2016-11-30,367.0,420.5,0.14577656675749318,0.7360406091370558
6456,201606-201611,2016-06-01,2016-11-30,91.8,91.4,-0.004357298474945441,0.41116751269035534
2207,201606-201611,2016-06-01,2016-11-30,314.5,366.5,0.16534181240063592,0.7766497461928934
6505,201606-201611,2016-06-01,2016-11-30,87.9,107.5,0.222980659840728,0.8578680203045685
8454,201606-201611,2016-06-01,2016-11-30,229.5,194.5,-0.15250544662309368,0.06598984771573604
2204,201606-201611,2016-06-01,2016-11-30,24.0,26.8,0.1166666666666667,0.6751269035532995
8464,201606-201611,2016-06-01,2016-11-30,286.5,357.0,0.24607329842931938,0.8934010152284264
9904,201606-201611,2016-06-01,2016-11-30,43.55,39.85,-0.08495981630309979,0.16243654822335024
2201,201606-201611,2016-06-01,2016-11-30,27.85,27.65,-0.007181328545781071,0.40609137055837563
9910,201606-201611,2016-06-01,2016-11-30,136.5,119.5,-0.12454212454212454,0.10152284263959391
9914,201606-201611,2016-06-01,2016-11-30,147.0,139.5,-0.05102040816326531,0.25380710659898476
2106,201606-201611,2016-06-01,2016-11-30,52.0,46.4,-0.10769230769230773,0.12690355329949238
9917,201606-201611,2016-06-01,2016-11-30,90.0,87.0,-0.03333333333333333,0.3401015228426396
2105,201606-201611,2016-06-01,2016-11-30,67.7,60.0,-0.11373707533234863,0.1116751269035533
9921,201606-201611,2016-06-01,2016-11-30,197.0,190.0,-0.03553299492385787,0.3248730964467005
9933,201606-201611,2016-06-01,2016-11-30,47.25,50.4,0.06666666666666664,0.6192893401015228
2103,201606-201611,2016-06-01,2016-11-30,27.3,32.25,0.18131868131868129,0.8020304568527918
9938,201606-201611,2016-06-01,2016-11-30,89.8,96.9,0.07906458797327404,0.6294416243654822
9941,201606-201611,2016-06-01,2016-11-30,74.1,76.7,0.03508771929824573,0.5634517766497462
2059,201606-201611,2016-06-01,2016-11-30,350.5,364.5,0.039942938659058486,0.5685279187817259
2855,201606-201611,2016-06-01,2016-11-30,12.45,11.3,-0.09236947791164647,0.14720812182741116
1717,201606-201611,2016-06-01,2016-11-30,32.65,33.1,0.013782542113323212,0.4720812182741117
2903,201606-201611,2016-06-01,2016-11-30,16.8,16.2,-0.035714285714285796,0.3197969543147208
3037,201606-201611,2016-06-01,2016-11-30,14.1,11.95,-0.15248226950354613,0.07106598984771574
1229,201606-201611,2016-06-01,2016-11-30,20.65,22.0,0.06537530266343833,0.6091370558375635
1326,201606-201611,2016-06-01,2016-11-30,81.9,99.9,0.21978021978021978,0.8426395939086294
2441,201606-201611,2016-06-01,2016-11-30,37.3,38.5,0.032171581769437074,0.5583756345177665
3026,201606-201611,2016-06-01,2016-11-30,33.0,31.75,-0.03787878787878788,0.3096446700507614
1319,201606-201611,2016-06-01,2016-11-30,47.6,68.0,0.42857142857142855,0.9390862944162437
2027,201606-201611,2016-06-01,2016-11-30,15.55,18.4,0.18327974276527317,0.817258883248731
1314,201606-201611,2016-06-01,2016-11-30,7.7,9.43,0.2246753246753246,0.8629441624365483
2104,201606-201611,2016-06-01,2016-11-30,23.45,27.5,0.1727078891257996,0.7969543147208121
1210,201606-201611,2016-06-01,2016-11-30,25.75,29.45,0.1436893203883495,0.7309644670050761
1303,201606-201611,2016-06-01,2016-11-30,62.0,67.1,0.08225806451612894,0.6345177664974619
2456,201606-201611,2016-06-01,2016-11-30,56.0,71.6,0.27857142857142847,0.9137055837563451
5269,201606-201611,2016-06-01,2016-11-30,157.0,263.0,0.6751592356687898,0.9746192893401016
1301,201606-201611,2016-06-01,2016-11-30,79.0,90.8,0.1493670886075949,0.7461928934010152
8341,201606-201611,2016-06-01,2016-11-30,156.0,115.5,-0.25961538461538464,0.03553299492385787
5876,201606-201611,2016-06-01,2016-11-30,27.98,27.27,-0.025375268048606178,0.3553299492385787
1227,201606-201611,2016-06-01,2016-11-30,78.7,75.6,-0.039390088945362244,0.2893401015228426
2889,201606-201611,2016-06-01,2016-11-30,7.96,8.16,0.02512562814070354,0.5380710659898477
3005,201606-201611,2016-06-01,2016-11-30,23.15,40.45,0.7473002159827216,0.9847715736040609
1216,201606-201611,2016-06-01,2016-11-30,62.7,54.5,-0.13078149920255186,0.09137055837563451
3023,201606-201611,2016-06-01,2016-11-30,73.9,66.7,-0.09742895805142086,0.14213197969543148
5534,201606-201611,2016-06-01,2016-11-30,52.8,60.1,0.13825757575757586,0.7208121827411168
2023,201606-201611,2016-06-01,2016-11-30,8.04,12.3,0.5298507462686569,0.9593908629441624
6415,201606-201611,2016-06-01,2016-11-30,392.0,486.5,0.24107142857142858,0.8883248730964467
1402,201606-201611,2016-06-01,2016-11-30,23.35,23.5,0.006423982869378953,0.4365482233502538
1262,201606-201611,2016-06-01,2016-11-30,153.0,144.0,-0.058823529411764705,0.2233502538071066
1704,201606-201611,2016-06-01,2016-11-30,36.95,37.65,0.01894451962110949,0.5126903553299492
3060,201606-201611,2016-06-01,2016-11-30,45.7,30.4,-0.33479212253829327,0.01015228426395939
3576,201606-201611,2016-06-01,2016-11-30,18.1,14.8,-0.1823204419889503,0.05583756345177665
1605,201606-201611,2016-06-01,2016-11-30,9.29,13.4,0.4424111948331541,0.9441624365482234
6005,201606-201611,2016-06-01,2016-11-30,8.4,8.95,0.06547619047619034,0.6142131979695431
1590,201606-201611,2016-06-01,2016-11-30,225.0,241.5,0.07333333333333333,0.6243654822335025
8046,201606-201611,2016-06-01,2016-11-30,30.0,24.2,-0.19333333333333336,0.050761421319796954
