stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank,start_date2,SD_close2,end_date2,ED_close2,return2,avg_monthly_return,annualized_return
4938,2014-04-01,2015-03-31,23.02,44.66,201404-201504,0.94005212858384,63.63556028168619,winner,3.0,2015-04-01,44.24,2015-12-31,39.77,-0.10103978300180828,-0.011765406340146778,-0.13239782865177474
5522,2014-04-01,2015-03-31,21.03,15.03,201404-201504,-0.2853067047075607,9.664588528084424,loser,137.0,2015-04-01,15.07,2015-12-31,16.02,0.06303915063039146,0.00681555747241358,0.08492324078449798
6116,2014-04-01,2015-03-31,7.87,5.3,201404-201504,-0.3265565438373571,7.84773795172315,loser,140.0,2015-04-01,5.28,2015-12-31,3.01,-0.4299242424242425,-0.06053328670952385,-0.5273096197064784
6271,2014-04-01,2015-03-31,119.77,83.59,201404-201504,-0.3020789847207146,8.925852880827566,loser,138.0,2015-04-01,83.59,2015-12-31,62.64,-0.25062806555808115,-0.03154935767893119,-0.3193405187161277
9907,2014-04-01,2015-03-31,24.08,15.33,201404-201504,-0.3633720930232558,6.226195827716642,loser,143.0,2015-04-01,15.22,2015-12-31,11.38,-0.25229960578186594,-0.03178961981260897,-0.32136412713512796
9910,2014-04-01,2015-03-31,41.14,93.99,201404-201504,1.284637822070977,78.81284894572185,winner,1.0,2015-04-01,93.74,2015-12-31,87.88,-0.06251333475570728,-0.007146866034937194,-0.08247029782766901
9921,2014-04-01,2015-03-31,149.72,226.22,201404-201504,0.5109537803900615,44.73590884841804,winner,11.0,2015-04-01,223.97,2015-12-31,168.87,-0.24601509130687144,-0.03088876558882403,-0.3137481348171216
1262,2014-05-02,2015-04-30,163.33,124.71,201405-201505,-0.2364538051796976,15.286209850818446,loser,137.0,2015-05-04,123.85,2016-01-30,97.07,-0.21622930964876869,-0.02670784176691876,-0.2773655003349482
1477,2014-05-02,2015-04-30,77.68,125.27,201405-201505,0.612641606591143,58.07081078998218,winner,8.0,2015-05-04,125.53,2016-01-30,124.57,-0.0076475742850315295,-0.0008526326278430751,-0.010183746801352811
1590,2014-05-02,2015-04-30,250.11,197.06,201405-201505,-0.2121066730638519,16.51302407822908,loser,135.0,2015-05-04,193.53,2016-01-30,136.68,-0.29375290652611996,-0.03790621722307541,-0.37106046098025447
1704,2014-05-02,2015-04-30,25.22,17.01,201405-201505,-0.3255352894528151,10.797532014549152,loser,143.0,2015-05-04,16.42,2016-01-30,25.77,0.5694275274056028,0.05135414080260747,0.8238467950574622
1789,2014-05-02,2015-04-30,61.3,40.29,201405-201505,-0.3427406199021207,9.930582096912982,loser,146.0,2015-05-04,39.74,2016-01-30,42.0,0.05686965274282833,0.006164632633893774,0.07653603147852572
2207,2014-05-02,2015-04-30,265.85,402.77,201405-201505,0.5150272710174909,53.152175810256885,winner,13.0,2015-05-04,387.6,2016-01-30,268.05,-0.30843653250773995,-0.04014957757909843,-0.38843485698364255
2327,2014-05-02,2015-04-30,35.13,65.14,201405-201505,0.8542556219755194,70.2453663066235,winner,4.0,2015-05-04,65.55,2016-01-30,56.24,-0.1420289855072463,-0.016876520148312868,-0.18473871085373683
2395,2014-05-02,2015-04-30,102.56,147.13,201405-201505,0.4345748829953197,49.09830475122879,winner,14.0,2015-05-04,149.16,2016-01-30,121.25,-0.18711450791096806,-0.022755435309461225,-0.24135401550851066
2448,2014-05-02,2015-04-30,63.71,45.07,201405-201505,-0.2925757337937529,12.458312907316143,loser,140.0,2015-05-04,44.83,2016-01-30,27.03,-0.3970555431630604,-0.05466362876956443,-0.49062642736097384
2542,2014-05-02,2015-04-30,12.02,21.73,201405-201505,0.807820299500832,67.90556242355049,winner,5.0,2015-05-04,21.92,2016-01-30,12.46,-0.43156934306569344,-0.06083490415022019,-0.5291275044161488
2610,2014-05-02,2015-04-30,8.52,13.68,201405-201505,0.6056338028169015,57.71769842618365,winner,9.0,2015-05-04,13.34,2016-01-30,9.52,-0.28635682158920545,-0.03679190393135434,-0.36226318021247494
2615,2014-05-02,2015-04-30,7.05,16.32,201405-201505,1.3148936170212766,93.45620047465476,winner,1.0,2015-05-04,16.13,2016-01-30,9.36,-0.41971481711097336,-0.05867857762855333,-0.5159889146264784
2618,2014-05-02,2015-04-30,10.28,16.84,201405-201505,0.6381322957198444,59.35524708173088,winner,7.0,2015-05-04,16.21,2016-01-30,12.24,-0.24491054904380016,-0.030731124941486443,-0.31240738437941784
2723,2014-05-02,2015-04-30,143.73,78.24,201405-201505,-0.4556460029221457,4.241454951212517,loser,148.0,2015-05-04,81.82,2016-01-30,131.86,0.6115864091909071,0.05445530804473542,0.8894618534669516
2727,2014-05-02,2015-04-30,280.61,184.99,201405-201505,-0.3407576351519903,10.030501623065918,loser,145.0,2015-05-04,187.06,2016-01-30,95.71,-0.48834598524537587,-0.07175195566330628,-0.5907690093576471
2881,2014-05-02,2015-04-30,19.36,33.48,201405-201505,0.7293388429752065,63.95100354592056,winner,6.0,2015-05-04,34.55,2016-01-30,20.32,-0.41186685962373365,-0.05727248347200409,-0.5072414114841137
2883,2014-05-02,2015-04-30,5.21,8.0,201405-201505,0.5355086372360844,54.18420008951171,winner,11.0,2015-05-04,8.22,2016-01-30,5.33,-0.3515815085158151,-0.04699529777404288,-0.4387704597683886
2923,2014-05-02,2015-04-30,15.53,29.69,201405-201505,0.9117836445589184,73.14411414453338,winner,3.0,2015-05-04,29.22,2016-01-30,14.1,-0.5174537987679672,-0.0777733763218923,-0.6215122149365535
3008,2014-05-02,2015-04-30,1477.61,2349.39,201405-201505,0.589993299991202,56.929597745613705,winner,10.0,2015-05-04,2433.3,2016-01-30,1940.41,-0.2025603090453294,-0.024836272699288453,-0.26051313555930755
3037,2014-05-02,2015-04-30,20.78,14.41,201405-201505,-0.3065447545717036,11.7544356148349,loser,142.0,2015-05-04,13.9,2016-01-30,11.35,-0.183453237410072,-0.022267350355566262,-0.23679463425081548
3060,2014-05-02,2015-04-30,148.07,103.02,201405-201505,-0.3042479908151549,11.870165978482172,loser,141.0,2015-05-04,100.33,2016-01-30,46.34,-0.538124190172431,-0.0822486666598683,-0.6429736338773717
