combination,remark,count,mean_return2
201106-201203,winner,106,0.06645841267710584
201106-201203,winner - loser,-,0.22071342851377165
201107-201204,loser,102,-0.06208212269075022
201107-201204,winner,104,0.08715442103561848
201107-201204,winner - loser,-,0.1492365437263687
201108-201205,loser,99,0.07150369435461168
201108-201205,winner,98,0.14072941351065046
201108-201205,winner - loser,-,0.06922571915603878
201109-201206,loser,93,0.24482036565926607
201109-201206,winner,91,0.27125405581928047
201109-201206,winner - loser,-,0.0264336901600144
201110-201207,loser,92,0.07558215314220305
201110-201207,winner,93,0.28259091779293677
201110-201207,winner - loser,-,0.2070087646507337
201111-201208,loser,89,0.08171321956416139
201111-201208,winner,91,0.2830556129375946
201111-201208,winner - loser,-,0.20134239337343324
201112-201209,loser,85,-0.017731375583663053
201112-201209,winner,86,0.30965650827092916
201112-201209,winner - loser,-,0.3273878838545922
201201-201210,loser,87,0.014151408241458076
201201-201210,winner,88,0.2354831940312472
201201-201210,winner - loser,-,0.22133178578978913
201202-201211,loser,100,0.3484693464112186
201202-201211,winner,99,0.3600116404959822
201202-201211,winner - loser,-,0.011542294084763649
201203-201212,loser,99,0.1753464084212392
201203-201212,winner,102,0.39335072244824354
201203-201212,winner - loser,-,0.21800431402700435
201204-201301,loser,97,0.20452427163044296
201204-201301,winner,98,0.38565689338186243
201204-201301,winner - loser,-,0.18113262175141948
201205-201302,loser,95,0.19596259040345332
201205-201302,winner,94,0.3282449327810789
201205-201302,winner - loser,-,0.1322823423776256
201206-201303,loser,91,0.32971894833763915
201206-201303,winner,92,0.28673834391930664
201206-201303,winner - loser,-,-0.04298060441833251
201207-201304,loser,94,0.29606472451028387
201207-201304,winner,94,0.41106076542645786
201207-201304,winner - loser,-,0.11499604091617399
201208-201305,loser,95,0.32505172190312354
201208-201305,winner,96,0.33568802688762484
201208-201305,winner - loser,-,0.010636304984501299
201209-201306,loser,100,0.3410767017492456
201209-201306,winner,99,0.33484700772962084
201209-201306,winner - loser,-,-0.006229694019624754
201210-201307,loser,97,0.4112934926051693
201210-201307,winner,97,0.3509475743611411
201210-201307,winner - loser,-,-0.060345918244028185
201211-201308,loser,93,0.3483044403243537
201211-201308,winner,92,0.2776537927571073
201211-201308,winner - loser,-,-0.07065064756724643
201212-201309,loser,98,0.28229900147277376
201212-201309,winner,97,0.2277706927540689
201212-201309,winner - loser,-,-0.05452830871870487
201301-201310,loser,101,0.1977270947963824
201301-201310,winner,100,0.1411035087170696
201301-201310,winner - loser,-,-0.05662358607931281
201302-201311,loser,101,0.03477829289697496
201302-201311,winner,102,0.03420642363179707
201302-201311,winner - loser,-,-0.0005718692651778892
201303-201312,loser,103,0.14870537496705663
201303-201312,winner,104,-0.018966449755320434
201303-201312,winner - loser,-,-0.16767182472237707
201304-201401,loser,103,0.15375817120840216
201304-201401,winner,106,0.07167060714547382
201304-201401,winner - loser,-,-0.08208756406292833
201305-201402,loser,107,0.16795156630115027
201305-201402,winner,110,0.12768430954861146
201305-201402,winner - loser,-,-0.04026725675253881
201306-201403,loser,108,0.015935014980496678
201306-201403,winner,110,0.03686309109164897
201306-201403,winner - loser,-,0.02092807611115229
201307-201404,loser,109,0.014201658696348863
201307-201404,winner,111,-0.05036708109457046
201307-201404,winner - loser,-,-0.06456873979091932
201308-201405,loser,109,0.04196689458347799
201308-201405,winner,111,-0.03586244535833369
201308-201405,winner - loser,-,-0.07782933994181168
201309-201406,loser,111,-0.07526499779540638
201309-201406,winner,112,-0.1024465122358126
201309-201406,winner - loser,-,-0.027181514440406215
201310-201407,loser,115,-0.14055830129854216
201310-201407,winner,116,-0.1758690307732544
201310-201407,winner - loser,-,-0.03531072947471223
201311-201408,loser,114,-0.19754556325764455
201311-201408,winner,113,-0.24338878136081418
201311-201408,winner - loser,-,-0.04584321810316963
201312-201409,loser,119,-0.25100896751011176
201312-201409,winner,116,-0.2901555447894855
201312-201409,winner - loser,-,-0.03914657727937376
201401-201410,loser,121,-0.17781550661191978
201401-201410,winner,120,-0.15781577082915385
201401-201410,winner - loser,-,0.019999735782765926
201402-201411,loser,124,-0.07499117201087725
201402-201411,winner,124,0.06292271119203606
201402-201411,winner - loser,-,0.1379138832029133
201403-201412,loser,125,-0.045422176086926856
201403-201412,winner,127,-0.0191058091504664
201403-201412,winner - loser,-,0.026316366936460455
201404-201501,loser,126,-0.11426256130712088
201404-201501,winner,127,-0.06226886016224122
201404-201501,winner - loser,-,0.05199370114487966
201405-201502,loser,123,-0.17057787703078384
201405-201502,winner,126,0.015602520777954152
201405-201502,winner - loser,-,0.186180397808738
201406-201503,loser,126,-0.1696156920631818
201406-201503,winner,127,0.08589976403490283
201406-201503,winner - loser,-,0.2555154560980846
201407-201504,loser,129,-0.12509085189576644
