combination,remark,count,mean_avg_monthly_return,std_avg_monthly_return
201412-201512,loser,128,-0.00447905017972088,0.05128164511578277
201412-201512,winner,129,-0.004163834204066984,0.04443127620164405
201501-201601,loser,130,0.0018469740055266641,0.04982207859305551
201501-201601,winner,133,0.00612348638599566,0.0445183894932418
201502-201602,loser,131,0.014964387112908624,0.052818331345581004
201502-201602,winner,133,0.011477091948093899,0.041626364095168025
201503-201603,loser,132,0.0056501070629208176,0.060087307788772686
201503-201603,winner,133,0.006862878054743118,0.04668001297212238
201504-201604,loser,131,0.0035416282388911805,0.048957933267314284
201504-201604,winner,134,0.0056764208044098995,0.04782138170101765
201505-201605,loser,128,0.007894242976847907,0.04892992803370068
201505-201605,winner,132,0.0055528308479878075,0.04565098589271781
201506-201606,loser,123,-8.576344754924983e-05,0.04686728056007848
201506-201606,winner,127,-0.010663193588464372,0.048887472061875104
201507-201607,loser,122,-0.001625352231021022,0.04273401289232983
201507-201607,winner,123,-0.009738988242795893,0.041991346486272944
201508-201608,loser,114,-0.005076336171203402,0.03591743537301934
201508-201608,winner,116,-0.011431813190380483,0.03626211706897438
201509-201609,loser,116,0.0016310055435704647,0.037179755929830874
201509-201609,winner,118,-0.00423845202660059,0.03722898479957648
201510-201610,loser,122,0.0052364881581980945,0.04359004438557052
201510-201610,winner,122,0.003232820685777268,0.04467311586347243
201511-201611,loser,120,0.007019914192620363,0.040537612788954784
201511-201611,winner,121,0.011604491080776028,0.04751132487811226
201512-201612,loser,119,0.0060228899025605905,0.037743490860112555
201512-201612,winner,119,0.018902649232298112,0.04552847053295584
201601-201701,loser,117,0.005150885539931028,0.038627843657651026
201601-201701,winner,118,0.02095642509195884,0.05103849710226325
201602-201702,loser,120,-0.0019608556416699026,0.035530190593961744
201602-201702,winner,121,0.023610829589929692,0.04974730436551247
201603-201703,loser,125,-0.011865875105223663,0.03801105688647303
201603-201703,winner,127,0.02140854352619609,0.05746952230090485
201604-201704,loser,124,-0.006864314970069518,0.04104570592633372
201604-201704,winner,126,0.007897174791111437,0.04960047288891025
201605-201705,loser,122,0.0005256070146077258,0.04226842801312923
201605-201705,winner,122,0.01771565887543375,0.056707877547474514
201606-201706,loser,123,-0.0015963753234815715,0.03905907596390333
201606-201706,winner,123,0.011231944272581956,0.057204319473414325
201607-201707,loser,128,-0.00776242168599015,0.03605950072144954
201607-201707,winner,128,0.012875296454260084,0.05602150232760021
201608-201708,loser,131,-0.007030482093100455,0.039602140589156225
201608-201708,winner,132,0.008217478822202048,0.06162751388009432
201609-201709,loser,133,-0.007138928219079959,0.0407833093865889
201609-201709,winner,133,-0.0024727454557544886,0.06532769338233363
201610-201710,loser,133,0.0065222145544378924,0.04863859267440244
201610-201710,winner,133,-0.0026711966345641506,0.05599192155611452
201611-201711,loser,132,0.0014224574419867593,0.05275639273818169
201611-201711,winner,132,-0.014338473148527545,0.05896655752629888
201612-201712,loser,134,0.010289993473396963,0.053749470391083104
201612-201712,winner,134,0.0019384393704384249,0.06724222419172489
