"編號","證券代號","證券名稱","累計次數","注意交易資訊","日期","收盤價","本益比",
"847","2032","新鋼","14",="03月08日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率68.49%，且03月08日當日沖銷成交量占該日總成交量比率72.26%﹝第十三款﹞","111.03.09","33.65     ","23.87     ",
"847","2033","佳大","14",="03月08日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率66.71%，且03月08日當日沖銷成交量占該日總成交量比率75.39%﹝第十三款﹞","111.03.09","23.75     ","131.94    ",
"847","2201","裕隆","14",="03月08日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率13.93%，且03月08日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為7.75倍﹝第十二款﹞","111.03.09","39.30     ","8.40      ",
"847","2607","榮運","14","最近六個營業日之累積週轉率為52.07%。且03月09日之週轉率為12.08%﹝第十款﹞。03月08日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率68.37%，且03月08日當日沖銷成交量占該日總成交量比率74.06%﹝第十三款﹞","111.03.09","40.80     ","52.31     ",
"847","2636","台驊投控","14",="03月08日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率61.01%，且03月08日當日沖銷成交量占該日總成交量比率63.61%﹝第十三款﹞","111.03.09","141.00    ","5.08      ",
"847","3006","晶豪科","14",="03月08日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率60.43%，且03月08日當日沖銷成交量占該日總成交量比率65.54%﹝第十三款﹞","111.03.09","153.50    ","8.42      ",
"847","5203","訊連","14","最近六個營業日累積收盤價漲幅達27.81%。且03月09日之成交量為最近六十個營業日日平均成交量之15.69 倍﹝第三款﹞。","111.03.09","109.50    ","54.21     ",
"847","5706","鳳凰","14",="03月08日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率70.13%，且03月08日當日沖銷成交量占該日總成交量比率75.78%﹝第十三款﹞","111.03.09","62.00     ","59.62     ",
"847","6719","力智","14","最近六個營業日累積收盤價跌幅達25.91%。且六個營業日起迄兩個營業日收盤價價差達185.00元﹝第一款﹞。","111.03.09","601.00    ","38.18     ",
"847","9105","泰金寶-DR","14","公開資訊觀測站公告當日之前一個營業日臺灣存託憑證兩地收盤價溢價87.39 % ﹝第八款﹞。","111.03.09","4.41      ","-----     ",
"848",="046626","泰鼎永豐13購04","16","最近六個營業日累積收盤價跌幅達39.50%﹝第一款﹞。","111.03.08","1.70      ","-----     ",
"848",="058500","元石油富邦19購01","16","最近六個營業日累積收盤價漲幅達53.83%﹝第一款﹞。","111.03.08","8.50      ","-----     ",
"848","1590","亞德客-KY","16","六個營業日起迄兩個營業日收盤價價差達109.00元且當日收盤價為最近六個營業日收盤價最低者﹝第十一款﹞","111.03.08","865.00    ","25.48     ",
"848","1708","東鹼","16",="03月07日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率62.68%，且03月07日當日沖銷成交量占該日總成交量比率65.09%﹝第十三款﹞","111.03.08","41.20     ","25.43     ",
"848","2009","第一銅","16",="03月07日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率66.25%，且03月07日當日沖銷成交量占該日總成交量比率71.41%﹝第十三款﹞","111.03.08","47.45     ","36.50     ",
"848","2024","志聯","16","最近六個營業日累積收盤價漲幅達39.54%﹝第一款﹞。且03月08日之成交量為最近六十個營業日日平均成交量之18.26 倍﹝第三款﹞。且03月08日之週轉率為17.67%﹝第四款﹞。","111.03.08","26.50     ","18.03     ",
"848","2359","所羅門","16",="03月07日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率62.81%，且03月07日當日沖銷成交量占該日總成交量比率71.20%﹝第十三款﹞","111.03.08","24.70     ","50.41     ",
"848","2607","榮運","16",="03月07日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率67.28%，且03月07日當日沖銷成交量占該日總成交量比率69.81%﹝第十三款﹞","111.03.08","37.10     ","47.56     ",
"848","2936","客思達-KY","16","最近六個營業日累積收盤價漲幅達35.27%﹝第一款﹞。","111.03.08","38.60     ","11.25     ",
"848","3661","世芯-KY","16","六個營業日起迄兩個營業日收盤價價差達110.00元且當日收盤價為最近六個營業日收盤價最低者﹝第十一款﹞","111.03.08","1030.00   ","52.79     ",
"848","4755","三福化","16",="03月07日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率62.94%，且03月07日當日沖銷成交量占該日總成交量比率72.90%﹝第十三款﹞","111.03.08","141.00    ","21.08     ",
"848","5203","訊連","16","最近六個營業日累積收盤價漲幅達25.22%。且03月08日之成交量為最近六十個營業日日平均成交量之19.45 倍﹝第三款﹞。","111.03.08","105.00    ","51.98     ",
"848","5706","鳳凰","16","最近六個營業日之累積週轉率為133.53% 。且03月08日之週轉率為21.50%﹝第十款﹞。","111.03.08","61.10     ","58.75     ",
"848","6409","旭隼","16","六個營業日起迄兩個營業日收盤價價差達155.00元且當日收盤價為最近六個營業日收盤價最低者﹝第十一款﹞","111.03.08","1400.00   ","51.87     ",
"848","8454","富邦媒","16","六個營業日起迄兩個營業日收盤價價差達139.00元且當日收盤價為最近六個營業日收盤價最低者﹝第十一款﹞","111.03.08","891.00    ","49.45     ",
"848","9103","美德醫療-DR","16","公開資訊觀測站公告當日之前一個營業日臺灣存託憑證兩地收盤價溢價106.79% ﹝第八款﹞。","111.03.08","10.20     ","-----     ",
"849","2009","第一銅","12","最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.36倍。當日之成交量較最近六十個營業日之平均成交量放大為 12.18倍﹝第九款﹞。最近六個營業日之累積週轉率為51.48%。且03月07日之週轉率為19.51%﹝第十款﹞。03月04日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率62.35%，且03月04日當日沖銷成交量占該日總成交量比率67.52%﹝第十三款﹞","111.03.07","52.70     ","40.54     ",
"849","2024","志聯","12","最近六個營業日累積收盤價漲幅達50.22%﹝第一款﹞。且03月07日之成交量為最近六十個營業日日平均成交量之26.36 倍﹝第三款﹞。且03月07日之週轉率為17.78%﹝第四款﹞。","111.03.07","29.40     ","20.00     ",
"849","2032","新鋼","12","最近六個營業日累積收盤價漲幅達33.21%﹝第一款﹞。且03月07日之成交量為最近六十個營業日日平均成交量之7.91倍﹝第三款﹞。且03月07日之週轉率為21.57%﹝第四款﹞。","111.03.07","33.60     ","23.83     ",
"849","2033","佳大","12","最近六個營業日累積收盤價漲幅達34.51%﹝第一款﹞。且03月07日之成交量為最近六十個營業日日平均成交量之10.60 倍﹝第三款﹞。且03月07日之週轉率為13.93%﹝第四款﹞。","111.03.07","23.40     ","130.00    ",
"849","2454","聯發科","12","六個營業日起迄兩個營業日收盤價價差達113.00元且當日收盤價為最近六個營業日收盤價最低者﹝第十一款﹞","111.03.07","972.00    ","13.88     ",
"849","2613","中櫃","12",="03月04日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率61.73%，且03月04日當日沖銷成交量占該日總成交量比率70.21%﹝第十三款﹞","111.03.07","39.55     ","24.26     ",
"849","2636","台驊投控","12","最近六個營業日之累積週轉率為55.95%。且03月07日之週轉率為10.04%﹝第十款﹞。","111.03.07","146.50    ","6.83      ",
"849","2906","高林","12",="03月04日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率71.78%，且03月04日當日沖銷成交量占該日總成交量比率76.05%﹝第十三款﹞","111.03.07","25.75     ","57.22     ",
"849","2936","客思達-KY","12","最近六個營業日累積收盤價漲幅達32.06%﹝第一款﹞。","111.03.07","38.65     ","11.27     ",
"849","5203","訊連","12","最近六個營業日累積收盤價漲幅達32.77%﹝第一款﹞。且03月07日之成交量為最近六十個營業日日平均成交量之18.19 倍﹝第三款﹞。且03月07日元富證券商賣出之比率為36.66%﹝第五款﹞。","111.03.07","113.00    ","55.94     ",
"849","5225","東科-KY","12","最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.31倍。當日之成交量較最近六十個營業日之平均成交量放大為 20.42倍﹝第九款﹞。","111.03.07","24.50     ","4.06      ",
"849","6719","力智","12","六個營業日起迄兩個營業日收盤價價差達130.00元且當日收盤價為最近六個營業日收盤價最低者﹝第十一款﹞","111.03.07","646.00    ","41.04     ",
"850","1435","中福","14","最近六個營業日累積收盤價漲幅達32.11%﹝第一款﹞。","111.03.04","57.30     ","-----     ",
"850","1529","樂士","14","最近六個營業日累積收盤價跌幅達32.64%﹝第一款﹞。","111.03.04","23.70     ","31.18     ",
"850","1560","中砂","14",="03月03日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率60.45%，且03月03日當日沖銷成交量占該日總成交量比率65.44%﹝第十三款﹞","111.03.04","114.50    ","24.16     ",
"850","1708","東鹼","14","最近六個營業日之累積週轉率為81.38%。且03月04日之週轉率為13.44%﹝第十款﹞。","111.03.04","43.80     ","27.04     ",
"850","2024","志聯","14","最近六個營業日累積收盤價漲幅達36.62%﹝第一款﹞。且03月04日之成交量為最近六十個營業日日平均成交量之28.77 倍﹝第三款﹞。且03月04日之週轉率為10.92%﹝第四款﹞。","111.03.04","26.75     ","18.20     ",
"850","2613","中櫃","14","最近六個營業日累積收盤價漲幅達31.53%。且03月04日之成交量為最近六十個營業日日平均成交量之13.32 倍﹝第三款﹞。且03月04日之週轉率為18.87%﹝第四款﹞。","111.03.04","39.40     ","24.17     ",
"850","2888","新光金","14",="03月03日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率15.56%，且03月03日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為6.17倍﹝第十二款﹞","111.03.04","10.55     ","6.72      ",
"850","2906","高林","14","最近六個營業日累積收盤價漲幅達31.31%。且03月04日之成交量為最近六十個營業日日平均成交量之7.63倍﹝第三款﹞。且03月04日之週轉率為17.46%﹝第四款﹞。","111.03.04","28.60     ","63.56     ",
"850","2936","客思達-KY","14","最近六個營業日累積收盤價漲幅達34.14%﹝第一款﹞。且03月04日之成交量為最近六十個營業日日平均成交量之30.57 倍﹝第三款﹞。","111.03.04","38.70     ","11.28     ",
"850","3035","智原","14",="03月03日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率81.73%，且03月03日當日沖銷成交量占該日總成交量比率87.40%﹝第十三款﹞","111.03.04","288.00    ","61.94     ",
"850","3383","新世紀","14","最近六個營業日累積收盤價漲幅達38.67%﹝第一款﹞。","111.03.04","8.80      ","-----     ",
"850","6205","詮欣","14","最近六個營業日之累積週轉率為57.18%。且03月04日之週轉率為19.87%﹝第十款﹞。","111.03.04","92.70     ","51.79     ",
"850","6477","安集","14","最近六個營業日之累積週轉率為66.67%。且03月04日之週轉率為20.37%﹝第十款﹞。03月03日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率61.11%，且03月03日當日沖銷成交量占該日總成交量比率63.19%﹝第十三款﹞","111.03.04","54.20     ","45.93     ",
"850","9103","美德醫療-DR","14","公開資訊觀測站公告當日之前一個營業日臺灣存託憑證兩地收盤價溢價105.43% ﹝第八款﹞。","111.03.04","11.10     ","-----     ",
"851","1435","中福","18","最近六個營業日累積收盤價漲幅達51.95%﹝第一款﹞。且03月03日玉山證券商買進之比率為75.39%。且03月03日富邦證券商賣出之比率為64.76%﹝第五款﹞。最近三十個營業日起迄兩個營業日之收盤價漲幅達111.29% 。最近六十個營業日起迄兩個營業日之收盤價漲幅達134.68% 。最近九十個營業日起迄兩個營業日之收盤價漲幅達163.35% ﹝第二款﹞。","111.03.03","63.60     ","-----     ",
"851","1529","樂士","18","最近六個營業日累積收盤價跌幅達28.60%。且03月03日之成交量為最近六十個營業日日平均成交量之5.24倍﹝第三款﹞。且03月03日之週轉率為27.22%﹝第四款﹞。","111.03.03","24.70     ","32.50     ",
"851","1560","中砂","18","最近六個營業日之累積週轉率為57.48%。且03月03日之週轉率為12.76%﹝第十款﹞。","111.03.03","117.50    ","24.79     ",
